asn,region,category,tags
131132,CN,Other,"Radio and Television Providers|Media, Publishing, and Broadcasting"
131133,CN,Unknown,
131134,CN,Other,Service
131135,CN,ISP,Computer and Information Technology|Education and Research|Online Informational Content|Internet Service Provider (ISP)|Software Development
131136,CN,Other,Computer and Information Technology|Software Development
131137,CN,Other,Manufacturing|Electronics and Computer Components|IPv6 only
131138,CN,Other,Computer and Information Technology|Search
131139,CN,Other,Computer and Information Technology|Search
131140,CN,Other,Search|Computer and Information Technology
131141,CN,Other,Search|Computer and Information Technology
131233,CN,Enterprise,"Service|Law, Business, and Consulting Services"
131285,CN,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Phone Provider
131300,CN,ISP,"Hosting and Cloud Provider|Computer and Information Technology|Hosting, Cloud Provider, Data Center, Server Colocation|Internet Service Provider (ISP)"
131301,CN,ISP,"Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology|Hosting and Cloud Provider|Internet Service Provider (ISP)"
131307,CN,ISP,"Computer and Information Technology|Hosting, Cloud Provider, Data Center, Server Colocation|Internet Service Provider (ISP)|Hosting and Cloud Provider"
131311,CN,ISP,"Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology|Internet Service Provider (ISP)|Hosting and Cloud Provider"
131319,CN,Other,Service
131320,CN,Content/CDN,"Computer and Information Technology|Hosting, Cloud Provider, Data Center, Server Colocation"
131325,CN,ISP,Internet Service Provider (ISP)|Computer and Information Technology
131326,CN,ISP,"Hosting and Cloud Provider|Internet Service Provider (ISP)|Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology"
131327,CN,ISP,"Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology|Hosting and Cloud Provider|Internet Service Provider (ISP)"
131335,CN,ISP,"Computer and Information Technology|Hosting, Cloud Provider, Data Center, Server Colocation|Hosting and Cloud Provider|Internet Service Provider (ISP)"
131336,CN,ISP,"Internet Service Provider (ISP)|Hosting and Cloud Provider|Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology"
143342,CN,Other,IPv6 only
131449,CN,Content/CDN,"Computer and Information Technology|Hosting, Cloud Provider, Data Center, Server Colocation"
131450,CN,ISP,"Internet Service Provider (ISP)|Hosting and Cloud Provider|Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology"
131456,CN,ISP,"Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology|Internet Service Provider (ISP)|Hosting and Cloud Provider"
131457,CN,ISP,"Hosting and Cloud Provider|Internet Service Provider (ISP)|Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology"
143360,CN,Other,IPv6 only
131469,CN,ISP,"Hosting and Cloud Provider|Internet Service Provider (ISP)|Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology"
131470,CN,Other,"Media, Publishing, and Broadcasting"
131481,CN,ISP,"Education and Research|Online Informational Content|Media, Publishing, and Broadcasting|Software Development|Internet Service Provider (ISP)"
131482,CN,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
131483,CN,ISP,"Online Informational Content|Internet Service Provider (ISP)|Education and Research|Software Development|Media, Publishing, and Broadcasting"
131484,CN,Other,Software Development|Computer and Information Technology
131485,CN,Academic/Edu,Education and Research
131486,CN,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology
131487,CN,Other,Computer and Information Technology
131488,CN,ISP,"Media, Publishing, and Broadcasting|Computer and Information Technology|Internet Service Provider (ISP)|Online Informational Content|Software Development"
131489,CN,Other,Software Development|Computer and Information Technology
131490,CN,Academic/Edu,Computer and Information Technology|Education and Research
131491,CN,ISP,"Education and Research|Online Informational Content|Media, Publishing, and Broadcasting|Software Development|Internet Service Provider (ISP)"
131492,CN,Other,"Clothing, Fashion, Luggage|Retail Stores, Wholesale, and E-commerce Sites|Service|Personal Care and Lifestyle (Barber Shops, Nail Salons, Diet Centers, Laundry, etc)"
131493,CN,Enterprise,"Music and Video Industry|Law, Business, and Consulting Services|Radio and Television Providers|Service|Media, Publishing, and Broadcasting"
131494,CN,ISP,"Media, Publishing, and Broadcasting|Online Informational Content|Internet Service Provider (ISP)|Computer and Information Technology|Software Development"
131495,CN,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology
131496,CN,ISP,"Media, Publishing, and Broadcasting|Online Informational Content|Software Development|Internet Service Provider (ISP)|Computer and Information Technology"
131497,CN,Enterprise,"Automotive and Transportation|Manufacturing|Law, Business, and Consulting Services|Service"
131498,CN,Enterprise,"Service|Law, Business, and Consulting Services|Manufacturing|Automotive and Transportation"
131499,CN,Other,Computer and Information Technology
131500,CN,Other,Electronics and Computer Components|Manufacturing
131501,CN,Other,"Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance"
131502,CN,ISP,"Media, Publishing, and Broadcasting|Online Informational Content|Internet Service Provider (ISP)|Software Development|Computer and Information Technology"
131503,CN,Other,"Retail Stores, Wholesale, and E-commerce Sites"
131504,CN,Other,"Retail Stores, Wholesale, and E-commerce Sites"
131505,CN,Enterprise,"Law, Business, and Consulting Services|Service"
131506,CN,Other,"Media, Publishing, and Broadcasting|Online Informational Content|Music and Video Industry"
131507,CN,ISP,Computer and Information Technology|Internet Service Provider (ISP)
131508,CN,ISP,"Internet Service Provider (ISP)|Online Informational Content|Computer and Information Technology|Media, Publishing, and Broadcasting|Software Development"
131509,CN,Academic/Edu,Research and Development Organizations|Education and Research
131510,CN,Content/CDN,Computer and Information Technology|Hosting and Cloud Provider
131511,CN,Enterprise,"Computer and Information Technology|Law, Business, and Consulting Services|Service"
131512,CN,ISP,"Media, Publishing, and Broadcasting|Online Informational Content|Internet Service Provider (ISP)|Education and Research|Computer and Information Technology"
131513,CN,Other,Computer and Information Technology
131514,CN,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology
131515,CN,ISP,"Internet Service Provider (ISP)|Computer and Information Technology|Education and Research|Software Development|Media, Publishing, and Broadcasting"
131516,CN,ISP,"Education and Research|Online Informational Content|Media, Publishing, and Broadcasting|Internet Service Provider (ISP)|Computer and Information Technology"
131517,CN,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology
131518,CN,Academic/Edu,"Retail Stores, Wholesale, and E-commerce Sites|Research and Development Organizations|Education and Research"
131519,CN,Enterprise,Electronics and Computer Components|Computer and Information Technology|Manufacturing|Machinery|Service
131520,CN,Other,Computer and Information Technology|Software Development
131521,CN,Government,"Government and Public Administration|Finance and Insurance|Investment, Portfolio Management, Pensions and Funds|Banks, Credit Card Companies, Mortgage Providers|Military, Defense, National Security, and International Affairs"
131522,CN,Other,Computer and Information Technology
131523,CN,Other,Software Development|Computer and Information Technology
131524,CN,Other,Validating RPKI ROV|Software Development|Computer and Information Technology
131525,CN,Other,"Software Development|Retail Stores, Wholesale, and E-commerce Sites|Travel and Accommodation|Air Travel|Service"
131526,CN,Other,IPv6 only
131527,CN,Other,"Recreation, Sports, and Performing Arts|Museums, Libraries, and Entertainment"
131528,CN,Other,Computer and Information Technology
131529,CN,Other,Computer and Information Technology
131530,CN,Other,Computer and Information Technology
131531,CN,ISP,"Media, Publishing, and Broadcasting|Internet Service Provider (ISP)|Online Informational Content|Software Development|Education and Research"
131532,CN,ISP,"Media, Publishing, and Broadcasting|Internet Service Provider (ISP)|Online Informational Content|Computer and Information Technology|Education and Research"
131533,CN,ISP,"Media, Publishing, and Broadcasting|Internet Service Provider (ISP)|Online Informational Content|Software Development|Computer and Information Technology"
131534,CN,ISP,"Media, Publishing, and Broadcasting|Computer and Information Technology|Online Informational Content|Education and Research|Internet Service Provider (ISP)"
131535,CN,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Software Development
131536,CN,Other,Computer and Information Technology
131537,CN,Content/CDN,Computer and Information Technology|Hosting and Cloud Provider
131538,CN,Other,Machinery|Manufacturing
131539,CN,Other,Software Development|Computer and Information Technology
131540,CN,Other,Computer and Information Technology
131541,CN,Unknown,
143377,CN,Other,IPv6 only
131542,CN,Unknown,
131544,CN,ISP,"Media, Publishing, and Broadcasting|Computer and Information Technology|Online Informational Content|Internet Service Provider (ISP)|Education and Research"
131545,CN,Other,Computer and Information Technology|Software Development
131543,CN,Unknown,
131547,CN,Other,Computer and Information Technology
131548,CN,ISP,"Computer and Information Technology|Education and Research|Media, Publishing, and Broadcasting|Online Informational Content|Internet Service Provider (ISP)"
131549,CN,Unknown,
131550,CN,Enterprise,"Law, Business, and Consulting Services|Service|Retail Stores, Wholesale, and E-commerce Sites"
131551,CN,Enterprise,"Service|Computer and Information Technology|Law, Business, and Consulting Services|Retail Stores, Wholesale, and E-commerce Sites"
131552,CN,Unknown,
131553,CN,Other,Computer and Information Technology|Software Development
131554,CN,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology
131555,CN,ISP,Computer and Information Technology|Education and Research|Internet Service Provider (ISP)|Online Informational Content|Software Development
131556,CN,ISP,"Software Development|Media, Publishing, and Broadcasting|Education and Research|Computer and Information Technology|Online Informational Content"
131557,CN,ISP,"Media, Publishing, and Broadcasting|Internet Service Provider (ISP)|Computer and Information Technology|Online Informational Content|Software Development"
131558,CN,Other,"Retail Stores, Wholesale, and E-commerce Sites"
131559,CN,Unknown,
131560,CN,Other,Computer and Information Technology
131561,CN,ISP,"Internet Service Provider (ISP)|Online Informational Content|Education and Research|Software Development|Media, Publishing, and Broadcasting"
131562,CN,ISP,"Internet Service Provider (ISP)|Software Development|Education and Research|Radio and Television Providers|Media, Publishing, and Broadcasting"
131563,CN,Unknown,
131564,CN,ISP,"Computer and Information Technology|Internet Service Provider (ISP)|Media, Publishing, and Broadcasting|Education and Research|Software Development"
131565,CN,ISP,Computer and Information Technology|Online Informational Content|Education and Research|Software Development|Internet Service Provider (ISP)
131566,CN,Unknown,
131567,CN,Other,Computer and Information Technology
131568,CN,ISP,"Media, Publishing, and Broadcasting|Education and Research|Computer and Information Technology|Online Informational Content|Internet Service Provider (ISP)"
131569,CN,ISP,Hosting and Cloud Provider|Computer and Information Technology|Internet Service Provider (ISP)
131570,CN,Other,Machinery|Manufacturing
131571,CN,Other,"Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance"
131572,CN,Other,"Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers"
131573,CN,Unknown,
131574,CN,Other,Computer and Information Technology
131575,CN,Other,Computer and Information Technology
131576,CN,Other,"Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers"
131577,CN,ISP,Computer and Information Technology|Internet Service Provider (ISP)
131578,CN,Academic/Edu,"Colleges, Universities, and Professional Schools|Education and Research|Academic"
131579,CN,ISP,"Radio and Television Providers|Media, Publishing, and Broadcasting|Computer and Information Technology|Internet Service Provider (ISP)"
131580,CN,ISP,"Radio and Television Providers|Software Development|Internet Service Provider (ISP)|Media, Publishing, and Broadcasting|Computer and Information Technology"
143383,CN,Other,IPv6 only
143411,CN,Other,IPv6 only
143413,CN,Other,IPv6 only
143414,CN,Other,IPv6 only
143416,CN,Other,IPv6 only
143417,CN,Other,IPv6 only
143418,CN,Other,IPv6 only
143419,CN,Other,IPv6 only
143430,CN,Other,IPv6 only
197433,CN,ISP,"Not Validating RPKI ROV|Radio and Television Providers|Media, Publishing, and Broadcasting|Internet Service Provider (ISP)|Computer and Information Technology"
143461,CN,Other,IPv6 only
143463,CN,Other,IPv6 only
143464,CN,Other,IPv6 only
143465,CN,Other,IPv6 only
132019,CN,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology
197626,CN,Other,"Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers|IPv6 only"
132147,CN,ISP,Internet Service Provider (ISP)|Computer and Information Technology
132153,CN,ISP,Computer and Information Technology|Internet Service Provider (ISP)
132154,CN,Other,Electronics and Computer Components|Manufacturing
132176,CN,Other,"Freight, Shipment, and Postal Services"
132177,CN,Other,Hospitals and Medical Centers|Health Care Services
132178,CN,Other,Construction and Real Estate|Real Estate (Residential and/or Commercial)
132179,CN,Other,Computer and Information Technology
132180,CN,Other,"Retail Stores, Wholesale, and E-commerce Sites"
132181,CN,Enterprise,"Service|Law, Business, and Consulting Services"
132182,CN,Other,"Investment, Portfolio Management, Pensions and Funds|Finance and Insurance"
132183,CN,Other,"Museums, Libraries, and Entertainment"
132184,CN,Other,"Retail Stores, Wholesale, and E-commerce Sites"
132185,CN,Other,Computer and Information Technology
132186,CN,Other,"Retail Stores, Wholesale, and E-commerce Sites"
132187,CN,Other,Travel and Accommodation
132188,CN,Other,Travel and Accommodation
132189,CN,ISP,"Insurance Carriers and Agencies|Investment, Portfolio Management, Pensions and Funds|Finance and Insurance"
132190,CN,Other,"Finance and Insurance|Investment, Portfolio Management, Pensions and Funds"
132191,CN,Other,"Finance and Insurance|Investment, Portfolio Management, Pensions and Funds"
132203,CN,ISP,Content|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|Software Development
132225,CN,ISP,Phone Provider|Computer and Information Technology|Internet Service Provider (ISP)
132226,CN,Other,Other
145935,CN,Other,IPv6 only
132437,CN,Other,"Banks, Credit Card Companies, Mortgage Providers|Computer and Information Technology|Technology Consulting Services|Finance and Insurance|Software Development"
132446,CN,Other,"Retail Stores, Wholesale, and E-commerce Sites"
132478,CN,ISP,"Internet Service Provider (ISP)|Computer and Information Technology|Retail Stores, Wholesale, and E-commerce Sites"
132479,CN,ISP,"Computer and Information Technology|Law, Business, and Consulting Services|Service|Internet Service Provider (ISP)|IPv6 only"
198025,CN,Other,"Media, Publishing, and Broadcasting|Personal ASN"
132501,CN,ISP,Internet Service Provider (ISP)|Computer and Information Technology
