probe_id,cc,asn,lon,lat
483,,23910,,
483,,4538,,
1008,,4134,,
3370,,4134,,
3386,,24400,,
3386,,24400,,
11700,,4812,,
14000,,4134,,
14000,,23910,,
14513,,4134,,
14516,,4134,,
14584,,4837,,
14584,,4837,,
15454,,23910,,
15454,,17816,,
15504,,4134,,
15504,,23910,,
16261,,23910,,
16524,,4812,,
16562,,4812,,
18332,,56040,,
18876,,17623,,
18881,,4134,,
20645,,4837,,
21089,,4812,,
21173,,4812,,
22381,,4808,,
22381,,17964,,
22387,,17964,,
22387,,4808,,
22534,,4808,,
22534,,45275,,
23020,,4809,,
23691,,4847,,
23707,,4847,,
23846,,4134,,
23846,,4134,,
23851,,4812,,
23874,,4812,,
23949,,17621,,
23949,,23910,,
23954,,4812,,
23954,,4812,,
23965,,4812,,
24176,,4812,,
24978,,56046,,
25158,,17622,,
26006,,17622,,
26437,,4812,,
26539,,4134,,
26541,,4134,,
26542,,4134,,
29031,,4134,,
29098,,4808,,
29151,,56046,,
30255,,9808,,
31223,,24372,,
31435,,4134,,
32388,,4134,,
32583,,23910,,
33110,,205532,,
33488,,9808,,
34249,,24547,,
34279,,4837,,
34308,,4837,,
34559,,205152,,
34903,,17622,,
34903,,17622,,
35135,,4134,,
35704,,9808,,
50166,,4134,,
51162,,9808,,
51162,,9808,,
51371,,4812,,
51371,,4812,,
52107,,17962,,
52358,,4538,,
52662,,4134,,
54725,,56040,,
54725,,9808,,
54815,,4134,,
54983,,4847,,
55328,,4134,,
55328,,4134,,
60222,,141771,,
60519,,4837,,
60519,,4837,,
61553,,4837,,
61553,,4837,,
61815,,205532,,
62033,,4808,,
62897,,17623,,
62897,,17623,,
63018,,4812,,
63067,,9808,,
64679,,4837,,
64679,,4837,,
64826,,56048,,
64826,,56048,,
1000353,,45090,,
1000462,,17623,,
1000705,,55960,,
1000705,,55960,,
1000706,,135629,,
1000706,,135629,,
1000829,,135395,,
1000831,,4837,,
1000833,,4809,,
1000834,,135395,,
1000848,,4134,,
1001082,,4134,,
1001082,,4809,,
1001494,,132203,,
1001514,,4134,,
1001576,,45090,,
1002087,,4808,,
1002427,,134773,,
1002428,,134773,,
1002431,,4538,,
1002515,,56048,,
1002795,,45090,,
1002835,,45090,,
1002836,,45090,,
1002837,,132203,,
1002839,,45090,,
1002840,,132203,,
1002957,,9808,,
1002957,,9808,,
1003167,,45102,,
1003241,,45102,,
1003243,,45102,,
1003352,,4538,,
1003353,,4538,,
1003426,,4538,,
1003540,,37963,,
1003540,,37963,,
1003549,,4808,,
1003577,,4134,,
1003578,,45090,,
1003580,,37963,,
1003617,,37963,,
1003715,,45090,,
1003721,,132203,,
1003931,,45090,,
1003932,,56040,,
1003933,,132203,,
1003934,,56040,,
1003935,,45090,,
1003936,,45090,,
1003978,,37963,,
1003982,,4134,,
1004084,,23910,,
1004176,,45090,,
1004177,,23910,,
1004259,,56048,,
1004263,,132203,,
1004264,,132203,,
1004267,,132203,,
1004275,,132203,,
1004277,,132203,,
1004288,,132203,,
1004290,,132203,,
1004291,,132203,,
1004292,,132203,,
1004293,,132203,,
1004294,,132203,,
1004295,,132203,,
1004306,,132203,,
1004307,,132203,,
1004308,,132203,,
1004309,,132203,,
1004310,,132203,,
1004311,,132203,,
1004312,,132203,,
1004313,,132203,,
1004314,,132203,,
