asn,target_type,test_name,detection_count
4134,Tag,ooni.facebookmessenger,1
4134,Tag,ooni.whatsapp,1
4134,Tag,ooni.vanillator,1
4134,Tag,ooni.torsf,1
4134,IP,ooni.tor,22
4134,Tag,ooni.telegram,1
4134,URL,ooni.stunreachability,14
4134,Tag,ooni.psiphon,1
4134,Tag,ooni.osignal,1
4134,Tag,ooni.httpinvalidrequestline,1
4134,Tag,ooni.httpheaderfieldmanipulation,1
4538,Tag,ooni.facebookmessenger,1
4538,Tag,ooni.whatsapp,1
4538,Tag,ooni.vanillator,1
4538,IP,ooni.tor,22
4538,Tag,ooni.telegram,1
4538,URL,ooni.stunreachability,13
4538,Tag,ooni.psiphon,1
4538,Tag,ooni.osignal,1
4538,Tag,ooni.httpinvalidrequestline,1
4538,Tag,ooni.httpheaderfieldmanipulation,1
4808,Tag,ooni.facebookmessenger,1
4808,Tag,ooni.whatsapp,1
4808,IP,ooni.tor,22
4808,Tag,ooni.telegram,1
4808,URL,ooni.stunreachability,7
4808,Tag,ooni.psiphon,1
4808,Tag,ooni.osignal,1
4808,Tag,ooni.httpinvalidrequestline,1
4808,Tag,ooni.httpheaderfieldmanipulation,1
4809,Tag,ooni.telegram,1
4809,Tag,ooni.whatsapp,1
4812,Tag,ooni.facebookmessenger,1
4812,Tag,ooni.whatsapp,1
4812,Tag,ooni.vanillator,1
4812,IP,ooni.tor,22
4812,Tag,ooni.telegram,1
4812,URL,ooni.stunreachability,13
4812,Tag,ooni.psiphon,1
4812,Tag,ooni.osignal,1
4812,Tag,ooni.httpinvalidrequestline,1
4812,Tag,ooni.httpheaderfieldmanipulation,1
4837,Tag,ooni.facebookmessenger,1
4837,Tag,ooni.whatsapp,1
4837,Tag,ooni.vanillator,1
4837,Tag,ooni.torsf,1
4837,IP,ooni.tor,22
4837,Tag,ooni.telegram,1
4837,URL,ooni.stunreachability,15
4837,Tag,ooni.psiphon,1
4837,Tag,ooni.osignal,1
4837,Tag,ooni.httpinvalidrequestline,2
4837,Tag,ooni.httpheaderfieldmanipulation,2
9808,Tag,ooni.facebookmessenger,1
9808,Tag,ooni.whatsapp,1
9808,IP,ooni.tor,22
9808,Tag,ooni.telegram,1
9808,URL,ooni.stunreachability,7
9808,Tag,ooni.psiphon,1
9808,Tag,ooni.osignal,1
9808,Tag,ooni.httpinvalidrequestline,1
9808,Tag,ooni.httpheaderfieldmanipulation,1
17964,Tag,ooni.httpinvalidrequestline,1
24355,URL,ooni.stunreachability,9
24355,Tag,ooni.vanillator,1
24400,Tag,ooni.facebookmessenger,1
