asn,degree,betweenness,eigenvector,pagerank,rank_degree,rank_betweenness,rank_eigenvector,rank_pagerank
38255,0.04694045738616853,0.09286808273898818,1.6139949425848741e-06,0.015713973066045966,23,3,70380,1
4134,0.003971796808827232,0.007620616215547329,0.009279466398138748,0.00048187130169428775,474,42,1695,205
4837,0.0021862051599020214,0.0024541615739121217,0.004393541111992749,0.00026385539078557714,892,166,4242,390
24429,0.004830254332348969,0.0006409037689180726,0.022799807153656256,0.00019813948821099768,412,631,283,521
9425,0.0004692901128585491,0.0007910299700490292,3.0112965412148488e-09,0.00017297857198369338,5534,519,82265,575
38272,0.00045784401254492593,0.0007795875541311368,3.011286043882055e-09,0.0001691339130535737,5689,524,82266,592
139317,0.0018313760501797037,0.0008724222681338465,0.0007351933797975468,0.00015890185091916697,1142,472,10813,627
132203,0.0036398598997321612,0.0001396649754615901,0.02064165453859523,0.00013845545503829646,507,1910,323,714
9808,0.0007325504200718815,0.0009891820084679346,0.00012194312873708224,0.00013748738942152787,2842,419,23592,722
4808,0.0008699036238353592,0.0004680392265112184,1.841508259338659e-05,0.0001354939848648887,2522,842,51331,729
45102,0.0033880456928324517,0.0001897653843685267,0.018040247563383578,0.00013513177878179378,550,1689,427,730
4847,0.0008126731222672435,0.0008462254492918401,2.8769460656080272e-05,0.00013011077658569127,2629,486,46929,748
23910,0.0005265206144266648,0.0003230372159336731,2.3024913709307317e-05,0.00012312086514251205,4824,1387,49394,784
56048,0.0006409816175628963,0.0006053641497470923,5.096131101356196e-06,0.00011321845069829932,3320,665,63774,858
4809,0.0012476249341849231,0.0009518423384252234,0.005521381731206298,9.624107381438367e-05,1896,434,2426,1017
146788,0.0004006135109768102,0.0002584420893489716,2.5682477683481894e-05,9.611593799096346e-05,6426,1498,48147,1018
24400,0.0005951972163084037,0.00014495122729371682,2.8507042599427697e-06,9.478541892427315e-05,3751,1879,67639,1035
4538,0.0007668887210127509,0.00206360268396066,0.002638336785357758,8.454747453877056e-05,2750,193,6303,1148
4812,0.0006066433166220268,0.0002493071636420052,3.555022786630168e-05,8.331882682968842e-05,3615,1517,43627,1167
10111,0.0016825767461026027,0.00045414126013194813,0.006696180674882063,8.002666483849674e-05,1274,874,2016,1216
56040,0.0004349518119176796,0.00046669179458596027,2.200022195207236e-06,7.859801115706871e-05,5986,845,68948,1245
140083,0.00020602980564521665,0.0001945859325816975,1.7343566173965183e-05,7.132461037286225e-05,9286,1664,51754,1391
17621,0.0005036284137994186,0.00012406582470716077,1.3533898450660807e-05,6.923346989598514e-05,5130,2011,53382,1441
55967,0.001934390953002312,5.897474247795069e-06,0.014239896888701113,6.617239089964332e-05,1055,9715,811,1505
140345,0.00020602980564521665,0.0005164119880196104,2.7666258407947396e-05,6.481624612243017e-05,9287,767,47418,1552
138169,0.00018313760501797037,0.0001716934699250272,1.734344509361355e-05,6.357805721715492e-05,9841,1761,51755,1584
140365,0.0001716915047043472,0.0004935271561838255,3.236829066446633e-08,6.163435208139899e-05,10130,795,81004,1637
23650,0.00020602980564521665,0.00014463763173614048,1.7473314464062744e-05,5.793254563732621e-05,9289,1880,51698,1772
131285,0.00018313760501797037,0.00048208967269106875,2.769843342314161e-05,5.4322398954882286e-05,9842,813,47412,1890
134238,0.00014879930407710092,0.00013735477594002175,1.7343263476257552e-05,5.19096939228083e-05,10836,1922,51757,2010
213605,0.0010415951285397064,5.804886105475182e-05,0.004147512382110262,4.604704244782e-05,2252,2873,4587,2334
9929,0.0003433830094086944,0.00018855299117972953,0.0004638635567865149,4.603650145571687e-05,7144,1697,12956,2336
134768,0.00012590710344985464,0.00011446231328335147,1.7343142400134568e-05,4.408071116229759e-05,11596,2075,51759,2474
7721,0.0008355653228944898,7.587578743184406e-06,0.00040684024711054497,4.158614663477636e-05,2587,9291,13390,2650
140647,0.00013735320376347777,0.00011446231328335147,2.7665678928226136e-05,4.1500442324366356e-05,11200,2076,47419,2660
153725,0.0011446100313623148,1.4679107644177524e-05,0.008839671449513508,3.953108350560685e-05,2088,5981,1749,2769
37963,0.0002174759059588398,2.160502093383112e-05,8.817478869291285e-06,3.785698353298792e-05,9047,5219,58516,2898
