asn,coreness,degree,ixp_count
24429,197,422,49
132203,197,318,32
45102,187,296,45
55967,157,169,7
4134,125,347,11
10111,97,147,6
153725,89,100,6
209650,85,90,9
4837,71,191,3
4809,71,109,3
146762,63,65,6
133865,52,56,5
213605,51,91,17
212793,49,50,7
142111,42,43,1
139799,39,39,1
4538,35,67,0
216299,30,32,7
7497,28,36,0
139317,28,160,9
137753,27,27,1
205794,27,27,5
199392,27,27,2
150289,26,27,11
204211,25,29,8
7721,25,73,8
151673,25,29,8
211729,25,26,6
200936,24,27,9
4842,24,30,6
63631,24,24,3
205369,23,24,10
199310,23,34,7
134578,23,27,0
212164,23,23,2
202782,23,24,1
146834,21,21,3
199932,21,23,2
210426,21,21,3
211575,21,23,20
140633,20,20,1
200959,20,20,2
38345,19,21,0
135426,19,19,1
209294,19,20,6
208754,19,19,6
205008,16,17,7
207303,16,20,7
139216,16,16,3
210352,16,21,16
9929,15,30,0
215007,15,15,12
59045,15,16,0
214955,13,15,10
214613,11,11,1
55996,11,16,0
215750,11,11,6
216056,11,11,10
202335,11,12,4
214933,11,12,9
44421,10,11,1
24490,10,16,0
153376,10,10,5
140682,10,10,7
39753,10,11,6
142553,10,10,26
204856,9,9,10
212985,9,9,6
142641,9,10,4
151187,9,9,0
210903,9,9,4
200536,9,9,11
4812,8,53,0
23911,8,14,1
214439,8,10,1
150173,8,8,1
212532,8,8,1
63648,7,7,0
9808,7,64,0
209306,7,7,4
202396,7,7,4
215502,7,7,2
17621,6,44,0
138538,6,6,0
24413,6,6,0
56040,6,38,0
24151,6,10,0
139138,6,8,0
17428,6,9,2
137908,6,6,5
133219,6,7,0
55992,6,7,0
4847,6,71,0
4811,6,14,0
58466,6,11,0
23724,6,18,0
133111,6,14,0
4808,6,76,0
24133,6,6,0
59078,6,7,0
37963,6,19,3
38365,6,12,3
55990,6,18,5
24406,6,11,0
45110,6,6,0
58593,6,6,0
45090,6,19,6
10212,6,10,0
45079,6,6,1
137718,6,11,2
59019,6,12,1
203309,6,6,6
209300,6,10,2
210041,6,6,1
56048,6,56,0
24400,6,52,0
150184,6,6,7
214848,6,6,3
201705,6,6,3
136237,5,6,0
133846,5,5,0
212237,5,5,6
136180,5,5,0
146950,5,6,5
58536,5,7,0
38283,5,10,0
137735,5,6,0
139148,5,5,0
9814,5,7,0
137758,5,5,0
58850,5,5,0
137801,5,6,0
63641,5,5,0
136958,5,7,0
138401,5,6,0
140731,5,5,7
151785,5,5,6
24409,5,8,0
56046,5,13,0
201674,5,5,0
213891,5,6,8
131486,4,6,0
139888,4,4,4
134774,4,7,0
58542,4,4,0
146788,4,35,0
23910,4,46,0
131578,4,4,0
55966,4,7,0
59073,4,5,0
38381,4,4,0
38375,4,4,0
135432,4,4,0
56013,4,4,0
56012,4,5,0
137746,4,4,0
59074,4,4,0
23848,4,7,0
9809,4,6,0
56006,4,6,0
24424,4,4,0
17622,4,8,0
17623,4,6,0
140726,4,5,0
138421,4,4,0
17429,4,4,1
203655,4,4,2
63959,4,4,0
214963,4,4,2
214899,4,4,3
141425,4,6,0
24489,4,7,0
151397,4,4,0
17962,4,4,0
207299,4,4,1
153726,4,7,0
207338,4,4,0
63646,4,4,0
200890,4,4,3
203236,4,4,10
214575,4,4,6
152711,4,4,0
24149,3,3,0
131495,3,3,1
23852,3,3,0
133475,3,3,0
17776,3,3,0
136198,3,3,0
58461,3,8,0
139721,3,4,0
134756,3,3,0
140330,3,11,0
58777,3,3,0
134773,3,5,0
4816,3,3,0
138950,3,4,0
58563,3,4,0
58519,3,3,0
9394,3,4,0
24348,3,6,0
134169,3,3,0
146782,3,3,0
55960,3,3,0
9818,3,3,0
18239,3,3,0
23844,3,4,1
58811,3,3,0
55468,3,3,0
59029,3,3,0
45071,3,3,0
24430,3,3,0
58866,3,3,0
17781,3,3,0
59012,3,3,0
38358,3,3,0
45075,3,3,0
17775,3,3,1
9812,3,4,1
59083,3,3,1
23853,3,3,1
55956,3,3,0
37969,3,4,0
17816,3,3,0
135061,3,3,0
134542,3,3,0
45062,3,3,1
24150,3,3,0
131516,3,3,0
139099,3,3,0
23771,3,4,0
38057,3,3,0
63561,3,3,0
24239,3,5,0
9308,3,4,0
204185,3,3,0
209218,3,3,3
37965,3,4,4
209574,3,3,4
198266,3,3,1
24138,3,11,1
38255,3,4101,0
139080,3,6,0
38019,3,5,0
56041,3,9,0
140895,3,3,0
24444,3,7,0
63531,3,3,0
133512,3,4,0
205610,3,3,0
152922,3,3,0
210738,3,3,0
199406,3,3,0
146842,3,3,0
138535,3,3,1
142438,3,3,0
147071,3,3,0
42962,3,5,0
207615,3,3,0
153185,3,12,0
207091,3,3,1
56019,3,3,1
138545,3,3,0
56282,3,3,0
45576,3,3,0
205603,3,3,5
209556,3,3,0
201944,3,4,0
213782,3,3,3
214207,3,3,0
139791,3,3,0
152186,3,3,0
50922,3,3,0
137798,3,3,0
58834,3,3,0
210773,3,3,2
210176,3,3,3
63829,2,2,2
134413,2,2,0
142433,2,2,0
140317,2,2,0
38564,2,2,0
136189,2,2,0
133952,2,2,1
203643,2,2,1
200809,2,2,2
139769,2,2,0
137785,2,2,0
135363,2,2,0
139203,2,2,0
134420,2,2,0
58540,2,3,0
140329,2,2,0
137697,2,2,0
134760,2,2,0
136195,2,3,0
140061,2,3,0
9389,2,2,0
17799,2,2,0
133774,2,2,0
133776,2,2,0
140485,2,2,0
137695,2,3,0
137702,2,3,0
140292,2,2,0
134761,2,2,0
149178,2,2,0
58543,2,2,0
141679,2,2,0
140647,2,12,0
141025,2,2,0
23650,2,18,0
140345,2,18,0
140308,2,2,0
140903,2,2,0
140293,2,2,0
140486,2,2,0
131285,2,16,2
132225,2,2,0
140320,2,2,0
140309,2,2,0
140319,2,2,0
140318,2,2,0
140311,2,2,0
137266,2,2,0
148981,2,2,0
24353,2,2,0
24358,2,2,0
24370,2,2,0
24372,2,2,0
24355,2,2,0
24349,2,2,0
138371,2,4,0
24350,2,2,0
24371,2,2,0
24357,2,3,0
24363,2,3,0
138369,2,2,0
24352,2,2,0
24362,2,2,0
138378,2,2,0
139139,2,2,0
24364,2,3,0
9405,2,2,0
24369,2,3,0
133465,2,2,0
24361,2,3,0
4611,2,2,0
38834,2,2,0
9805,2,2,0
139178,2,2,0
58448,2,2,0
37942,2,2,0
137726,2,2,0
56002,2,2,0
63634,2,2,0
7653,2,2,0
55982,2,2,0
38380,2,2,0
45083,2,2,0
9810,2,2,0
24147,2,2,0
38027,2,2,0
9811,2,2,0
139110,2,2,0
38378,2,2,0
146812,2,2,0
151313,2,2,0
139179,2,2,0
24427,2,2,0
137806,2,2,0
17739,2,2,0
56000,2,2,0
63617,2,2,0
63580,2,2,0
63570,2,2,0
151247,2,2,0
7609,2,2,0
10206,2,2,0
63581,2,2,0
63718,2,2,0
24139,2,2,0
4859,2,2,0
140979,2,2,0
139154,2,2,0
63701,2,3,0
9306,2,2,0
58852,2,2,0
