src,dst,hege
1010,56040,0.5
1010,9808,0.5
2010,9808,1.0
5068,10111,0.05416666666666666
7720,10111,0.6
7720,10111,0.3333333333333333
10032,55996,0.054986338797814206
10099,4837,0.03125
10100,4847,0.16666666666666663
10100,4812,0.16666666666666663
10100,4134,0.33333333333333326
10100,17621,0.03636363636363637
10100,4808,0.035606060606060606
10100,4847,0.03729946524064171
10100,4812,0.03636363636363637
10100,4837,0.07127153891859775
10100,4134,0.07372251931075462
12198,213605,0.04761904761904763
13696,10111,0.20779220779220778
14927,10111,1.0
21856,4134,0.325
21856,58461,0.325
21856,4837,0.6749999999999999
21856,4837,0.45454545454545453
21856,4134,0.5568181818181818
21856,58461,0.5568181818181818
23347,213605,0.34090909090909105
23596,7497,0.25
23596,24151,0.25
23596,24151,0.19999999999999998
23596,4134,0.05833333333333334
23596,4847,0.05833333333333334
23596,7497,0.15
24331,24400,0.3333333333333333
24331,9808,0.3333333333333333
33403,10111,1.0
35145,42962,1.0
35710,4809,0.15384615384615385
36678,4134,0.15138888888888888
38001,133219,0.11111111111111112
40526,4134,0.3076923076923077
40526,4812,0.3076923076923077
40929,10111,0.7727272727272727
44324,10111,0.05497462307807137
47778,10111,0.11720779220779219
53808,214439,0.09876033057851243
57175,4842,1.0
59214,134578,0.6458333333333334
59449,214955,0.14935064935064934
60539,202782,1.0
62246,213605,0.25
328543,4809,0.16666666666666663
328543,4809,0.17280037077847876
131279,4837,0.5
132707,10111,1.0
132707,10111,1.0
134544,4837,0.14285714285714282
135577,24400,1.0
135577,9808,1.0
136167,4809,0.4705882352941177
136796,42962,1.0
136796,42962,1.0
137446,134578,0.6458333333333334
137995,136237,0.5767939814814814
138435,10111,0.1454545454545455
138435,213605,0.49545454545454537
138435,10111,1.0
140630,24429,1.0
141768,134578,1.0
141768,134578,0.5088383838383839
146961,10111,1.0
149175,134578,1.0
149175,134578,0.6555493117993118
149628,134578,0.6458333333333334
150150,132203,0.09090909090909093
152905,152186,0.7291666666666666
152905,152186,1.0
153929,10111,1.0
153929,10111,1.0
401835,213605,0.25
198304,10111,0.5454545454545454
199018,213605,0.10000000000000003
199018,10111,0.12500000000000003
199436,151331,0.5
199518,214955,0.06451612903225805
199594,10111,1.0
199767,10111,0.5909090909090909
200078,10111,0.27651515151515155
201386,10111,0.18718434343434343
201386,216299,0.3721590909090909
202776,10111,0.14015151515151517
202939,10111,0.05050505050505052
203314,10111,0.1693181818181818
203472,10111,0.3863636363636363
203472,213605,0.5378787878787877
203843,10111,0.18181818181818182
204508,213605,0.05555555555555556
204535,214439,0.5
204539,213605,0.265530303030303
205329,10111,0.05413223140495868
206069,204211,0.45454545454545453
206069,210176,0.45454545454545453
206069,210352,0.45454545454545453
206069,151673,0.45454545454545453
206069,210773,0.45454545454545453
206300,153726,0.25
206300,153726,0.3333333333333333
207314,199310,0.04545454545454545
207529,199310,0.047885447885447886
207529,10111,0.21549284049284048
207529,214439,0.10034965034965036
207852,213605,0.5482954545454546
208753,139317,0.05882352941176471
208753,10111,0.05882352941176471
209557,213605,1.0
209565,153376,0.5
211695,199310,0.18181818181818182
212259,151331,1.0
212483,213605,0.07077922077922078
212483,10111,0.03852813852813852
213262,10111,0.13392857142857142
213262,213605,0.22199675324675325
213347,153726,0.3333333333333333
213347,153726,1.0
215184,153726,1.0
215672,153726,0.75
215672,153726,0.2903225806451613
215956,213605,0.08030150293255132
215956,214955,0.08809109237536657
216324,10111,0.03636363636363636
4200005203,9929,0.045454545454545456
4200005203,4837,0.045454545454545456
4200005205,4837,0.045454545454545456
4200005205,9929,0.045454545454545456
4200005720,4837,0.045454545454545456
4200005720,9929,0.045454545454545456
4200006375,4837,0.045454545454545456
4200006375,9929,0.045454545454545456
4200005925,4837,0.045454545454545456
4200005925,9929,0.045454545454545456
4200005925,17622,0.045454545454545456
4200005926,9929,0.045454545454545456
4200005926,4837,0.045454545454545456
4200005926,17622,0.045454545454545456
