ns_name,zone_count
ns2.4.cn,2642
ns1.4.cn,2642
vip3.alidns.com,882
vip4.alidns.com,881
dns10.hichina.com,602
dns9.hichina.com,602
f1g1ns2.dnspod.net,517
f1g1ns1.dnspod.net,517
ns2.judns.com,354
ns1.judns.com,354
dns8.hichina.com,302
dns7.hichina.com,302
ns2.julydns.com,296
ns1.julydns.com,296
ns2.alidns.com,265
ns1.alidns.com,264
dns2.hichina.com,259
dns1.hichina.com,259
dns21.hichina.com,257
dns22.hichina.com,256
dns17.hichina.com,249
dns18.hichina.com,249
vip2.alidns.com,225
dns15.hichina.com,225
vip1.alidns.com,225
dns16.hichina.com,225
dns27.hichina.com,220
dns28.hichina.com,220
dns13.hichina.com,217
dns14.hichina.com,217
ns2.myhostadmin.net,205
ns1.myhostadmin.net,205
ns11.xincache.com,203
ns12.xincache.com,203
dns11.hichina.com,201
dns12.hichina.com,201
dns20.hichina.com,199
dns19.hichina.com,198
dns25.hichina.com,192
dns26.hichina.com,192
ns5.myhostadmin.net,187
ns4.myhostadmin.net,185
dns24.hichina.com,183
cl1.sfndns.cn,183
cl1.sfndns.com,183
dns31.hichina.com,183
cl2.sfndns.com,183
dns32.hichina.com,183
dns23.hichina.com,183
cl2.sfndns.cn,183
dns4.hichina.com,178
dns3.hichina.com,178
ns3.dnsv4.com,173
ns4.dnsv4.com,173
dns30.hichina.com,170
dns29.hichina.com,170
ns1.sfn.cn,169
ns2.sfn.cn,168
ns3.dnsv2.com,162
ns4.dnsv2.com,162
ns6.myhostadmin.net,158
vip2.sfndns.cn,157
vip1.sfndns.cn,157
ns3.myhostadmin.net,156
emma.ns.cloudflare.com,133
ns1.nowcndns.com,132
ns2.nowcndns.com,132
roman.ns.cloudflare.com,132
ns3.35.net,117
ns1.35.net,117
ns4.35.net,117
ns2.35.net,117
ns-cnc1.qq.com,114
ns-os1.qq.com,114
ns-tel1.qq.com,114
ns-cmn1.qq.com,114
ns2.ename.net,110
ns1.ename.net,110
dm1.longmingdns.com,108
dm2.longmingdns.com,108
ns1.huaweicloud-dns.cn,106
ns1.huaweicloud-dns.com,106
ns2.cyudun.net,103
ns1.cyudun.net,103
ns3.dnsv5.com,101
ns4.dnsv5.com,101
ns20.xincache.com,97
ns19.xincache.com,97
ns1.jiasule.net,91
ns2.jiasule.net,90
ns1.365cyd.net,88
ns2.365cyd.net,87
ns1.kangdns.com,86
ns2.kangdns.com,86
ns1.service.edu.cn,84
ns2.service.edu.cn,84
ns1.huaweicloud-dns.net,82
ns1.huaweicloud-dns.org,82
ns1.abovedomains.com,74
ns2.abovedomains.com,74
5014.ns2.abovedomains.com,71
5014.ns1.abovedomains.com,71
ns7.cnmsn.net,69
ns8.cnmsn.net,69
ins1.zdnscloud.com,68
vns1.zdnscloud.biz,67
dns1.zdnscloud.info,67
ce2.xincache.com,66
ce1.xincache.com,66
cns1.zdnscloud.net,66
ns4.dnsv3.com,64
ns1.dns.com.cn,63
ns3.dnsv3.com,63
ns2.dns.com.cn,63
ns14.xincache.com,62
ns13.xincache.com,62
cleo.ns.cloudflare.com,56
ainsley.ns.cloudflare.com,56
newt.ns.cloudflare.com,55
b.share-dns.net,53
a.share-dns.com,53
b.ezdnscenter.com,53
a.ezdnscenter.com,53
ns1.22.cn,49
ns2.22.cn,49
cecelia.ns.cloudflare.com,48
ns15.xincache.com,46
ns16.xincache.com,46
ns2.sharesdns.com,46
ns1.sharesdns.com,46
ns1.cdns.cn,44
ns2.cdns.cn,44
ns3.cdns.cn,44
ns1.alibabadns.com,44
ns2.alibabadns.com,44
ns1.bdydns.cn,39
ns2.bdydns.cn,39
ns17.xincache.com,38
ns18.xincache.com,38
ns2.east.net,37
ns2.east.net.cn,37
ns2.dnsip.com,34
ns1.dnsip.com,34
louis.ns.cloudflare.com,31
ns1.xmodxvquvodns.com,30
ns2.xmodxvquvodns.com,30
blair.ns.cloudflare.com,29
ns1.363.hk,29
ns2.363.hk,29
ns1.8hy.cn,26
ns3.363.hk,26
ivan.dnspod.net,26
jack.dnspod.net,26
ns4.363.hk,26
ns2.8hy.cn,26
raina.ns.cloudflare.com,26
gerald.ns.cloudflare.com,26
ns4.cstnet.cn,25
ns3.cstnet.cn,25
mckenzie.ns.cloudflare.com,25
ns1.cnolnic.net,25
ns2.cnolnic.net,25
n2.xundns.com,24
a8.share-dns.com,24
b8.share-dns.net,24
n1.xundns.com,24
expirens3.hichina.com,23
brian.ns.cloudflare.com,23
dns3.4cun.com,23
expirens4.hichina.com,23
alina.ns.cloudflare.com,22
dns4.51dns.top,22
dns2.cscdns.net,22
dns1.cscdns.net,22
ns2.cnolnic.com,21
ns1.cnolnic.com,21
ns8.alidns.com,20
kayden.ns.cloudflare.com,20
exp2.kenpains.com,20
exp1.kenpains.com,20
ns7.alidns.com,19
ns.dns.net.cn,19
ns7.dns.net.cn,19
dns.hn.edu.cn,18
ns1.dnsv2.com,18
ns2.dnsv2.com,18
aarav.ns.cloudflare.com,16
ns1.01isp.com,16
vern.ns.cloudflare.com,16
mitch.ns.cloudflare.com,16
bob.ns.cloudflare.com,16
meera.ns.cloudflare.com,16
isaac.ns.cloudflare.com,16
ns2.01isp.net,16
a4.share-dns.com,15
b4.share-dns.net,15
ns3.goldenname.com,15
v1.dnsip.com,15
v2.dnsip.com,15
sandy.ns.cloudflare.com,15
simone.ns.cloudflare.com,14
carl.ns.cloudflare.com,14
ult02.dnspod.com,14
ult01.dnspod.com,14
alexia.ns.cloudflare.com,14
b2.share-dns.net,14
a2.share-dns.com,14
randall.ns.cloudflare.com,14
ns.dnsfamily.com,13
ns.cdnhost.cn,13
dns2.sc.edu.cn,13
dns1.sc.edu.cn,13
ingrid.ns.cloudflare.com,13
lara.ns.cloudflare.com,12
ns4.qq.com,12
ns1.markmonitor.com,12
justin.ns.cloudflare.com,12
ns2.dnsv5.com,12
ns1.dnsv5.com,12
ns3.qq.com,12
ns2.qq.com,12
graham.ns.cloudflare.com,12
vip8.alidns.com,12
vip7.alidns.com,12
ns5.363.hk,12
ns6.363.hk,12
ns1.dnsnw.com,12
ns2.dnsnw.com,12
ns1.qq.com,12
ns4.markmonitor.com,11
ns1-05.azure-dns-1.cn,11
ns2.markmonitor.com,11
ns4-05.azure-dns-1.cn,11
ns2-05.azure-dns-1.cn,11
ns3-05.azure-dns-1.cn,11
ns.bta.net.cn,11
dns1.sd.edu.cn,11
ns2.bta.net.cn,11
clark.ns.cloudflare.com,11
ns1.nsfc.gov.cn,11
desiree.ns.cloudflare.com,11
brianna.ns.cloudflare.com,11
n2.nsfc.gov.cn,11
b9.share-dns.net,11
a9.share-dns.com,11
dns2.resource.edu.cn,11
dns1.resource.edu.cn,11
ns1.siteground.net,11
ns2.siteground.net,11
a5-66.akam.net,11
ns1.stc2.tdnsstic1.cn,11
ns3.markmonitor.com,11
ns5.markmonitor.com,10
ns3-01.azure-dns.cn,10
ns1-01.azure-dns.cn,10
ns12.bigwww.com,10
a11-64.akam.net,10
ns11.bigwww.com,10
ns3.xdnsvip.info,10
ns3.nsfc.gov.cn,10
ns1.xdnsvip.cn,10
dns.cnmsn.net,10
ns2.xdnsvip.com,10
frank.dnspod.net,10
lynn.ns.cloudflare.com,10
