asn,hostname_count,ip_count,country,org_name,org_tags
45102,41109,17230,CN,"Hangzhou Alibaba Advertising Co.,Ltd.",Eyeball|Not Validating RPKI ROV|Computer and Information Technology
37963,27578,17595,CN,"Hangzhou Alibaba Advertising Co.,Ltd.",Eyeball|Not Validating RPKI ROV|Computer and Information Technology
24429,24082,1888,CN,"Hangzhou Alibaba Advertising Co.,Ltd.",Content|Software Development|Hosting and Cloud Provider
4837,17840,5283,CN,CNCGROUP IP network of ShangHai IDC,Carrier|Not Validating RPKI ROV|Internet Service Provider (ISP)
132203,14653,5946,CN,Shenzhen Tencent Computer Systems Company Limited,Content|Not Validating RPKI ROV|Computer and Information Technology
45090,11218,5043,CN,Shenzhen Tencent Computer Systems Company Limited,"Content|Not Validating RPKI ROV|Museums, Libraries, and Entertainment"
4134,11199,5645,CN,"No.31,Jin-rong Street",Carrier|Not Validating RPKI ROV|Computer and Information Technology
9808,8703,3697,CN,China Mobile,Carrier|Validating RPKI ROV|Phone Provider
4808,8580,2465,CN,China Unicom,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)
4811,8182,1584,CN,China Telecom (Group),Tranco 10k Host|Not Validating RPKI ROV|Internet Service Provider (ISP)
55990,6351,2654,CN,Huawei,Content|Hosting and Cloud Provider|Computer and Information Technology
4538,6085,5033,CN,China Education and Research Network Center,Eyeball|Not Validating RPKI ROV|Education and Research
23724,4561,2346,CN,"IDC, China Telecommunications Corporation",Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)
4812,3370,726,CN,China Telecom (Group),Eyeball|Not Validating RPKI ROV|Computer and Information Technology
38283,3249,812,CN,CHINANET SiChuan Telecom Internet Data Center,Tranco 10k Host|Not Validating RPKI ROV|Computer and Information Technology
56046,3202,754,CN,China Mobile Communications Corporation,Eyeball|Validating RPKI ROV|Computer and Information Technology
58563,2581,356,CN,CHINANET Hubei province network,Internet Service Provider (ISP)|Not Validating RPKI ROV|Computer and Information Technology
55960,2281,2084,CN,Beijing Guanghuan Xinwang Digital,Content|Not Validating RPKI ROV|Phone Provider
135629,2196,1938,CN,Ningxia West Cloud Data Technology Co.Ltd.,Server Hosting|Validating RPKI ROV|Computer and Information Technology
56047,1975,306,CN,China Mobile Communications Corporation,Eyeball|Validating RPKI ROV|Internet Service Provider (ISP)
56041,1803,572,CN,China Mobile Communications Corporation,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)
134768,1659,222,CN,CHINANET SHAANXI province Cloud Base network,"Government and Regulatory Agencies, Administrations, Departments, and Services|Not Validating RPKI ROV|Government and Public Administration"
134756,1649,396,CN,China Telecom,Eyeball|Not Validating RPKI ROV|Computer and Information Technology
58461,1619,464,CN,"No.288,Fu-chun Road",Carrier|Not Validating RPKI ROV|Computer and Information Technology
139587,1604,232,CN,China Telecom,"Music and Video Industry|Museums, Libraries, and Entertainment|Media, Publishing, and Broadcasting"
38365,1476,521,CN,"Beijing Baidu Netcom Science and Technology Co., Ltd.",Content|Not Validating RPKI ROV|Hosting and Cloud Provider
58466,1331,731,CN,CHINANET Guangdong province network,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)
134763,1328,288,CN,CHINANET Guangdong province network,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology
63835,1305,136,CN,Hengyang,Server Hosting|Not Validating RPKI ROV|Computer and Information Technology
136958,1259,618,CN,China Unicom,Tranco 10k Host|Not Validating RPKI ROV|Computer and Information Technology
151185,1235,132,CN,China Telecom,"Server Hosting|Media, Publishing, and Broadcasting|Music and Video Industry"
139018,1232,72,CN,China Telecom,Phone Provider|Computer and Information Technology|Internet Service Provider (ISP)
135061,1180,109,CN,China Unicom,Tranco 10k Host|Not Validating RPKI ROV|Computer and Information Technology
58540,1172,175,CN,"Jinan,250000",Eyeball|Internet Service Provider (ISP)|Computer and Information Technology
56048,1124,653,CN,China Mobile Communications Corporation,Eyeball|Not Validating RPKI ROV|Computer and Information Technology
133774,1083,153,CN,Fuzhou,Internet Service Provider (ISP)|Not Validating RPKI ROV|Computer and Information Technology
63838,1045,121,CN,Hengyang,Computer and Information Technology|Internet Service Provider (ISP)
58539,1026,134,CN,"Langfang,Hebei province, P.R.China",Computer and Information Technology|Internet Service Provider (ISP)
136190,1017,303,CN,"JINHUA, ZHEJIANG Province, P.R.China.",Eyeball|Internet Service Provider (ISP)|Computer and Information Technology
133775,986,170,CN,Xiamen,Eyeball|Computer and Information Technology|Hosting and Cloud Provider
140292,969,112,CN,China Telecom,"Mobile Data/Carrier|Media, Publishing, and Broadcasting|Music and Video Industry"
4847,963,589,CN,China Networks Inter-Exchange,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)
134770,929,61,CN,CHINANET Jiangsu province Suzhou taihu IDC network,Internet Service Provider (ISP)|Not Validating RPKI ROV|Computer and Information Technology
24547,897,305,CN,China Mobile,Eyeball|Validating RPKI ROV|Internet Service Provider (ISP)
151823,890,46,CN,China Telecom,"Media, Publishing, and Broadcasting|Museums, Libraries, and Entertainment|Music and Video Industry"
17621,841,503,CN,China Unicom,Carrier|Not Validating RPKI ROV|Computer and Information Technology
134238,809,50,CN,CHINANET Jiangx province IDC network,Content|Not Validating RPKI ROV|Computer and Information Technology
138169,796,103,CN,China Telecom,"Mobile Data/Carrier|Museums, Libraries, and Entertainment|Music and Video Industry"
56040,762,362,CN,China Mobile Communications Corporation,Eyeball|Not Validating RPKI ROV|Computer and Information Technology
24445,753,248,CN,China Mobile,Eyeball|Not Validating RPKI ROV|Phone Provider
146817,750,117,CN,"Hubei Feixun Network Co., Ltd","Service|Social Assistance (Temporary Shelters, Emergency Relief, Child Day Care, etc)"
55967,742,166,CN,"Beijing Baidu Netcom Science and Technology Co., Ltd.",Content|Hosting and Cloud Provider|Software Development
137718,716,481,CN,"Beijing Volcano Engine Technology Co., Ltd.",Server Hosting|Computer and Information Technology|Software Development
139080,707,98,CN,China Mobile Communications Corporation,Anycast|Internet Service Provider (ISP)|Computer and Information Technology
134771,690,182,CN,"WENZHOU, ZHEJIANG Province, P.R.China.",Content|Not Validating RPKI ROV|Computer and Information Technology
139203,683,178,CN,China Telecom,Phone Provider|Internet Service Provider (ISP)|Computer and Information Technology
140886,670,29,CN,China Unicom,"Phone Provider|Media, Publishing, and Broadcasting|Computer and Information Technology"
133119,667,99,CN,China Unicom,Eyeball|Not Validating RPKI ROV|Computer and Information Technology
137687,602,142,CN,"Luoyang, Henan Province, P.R.China.",Computer and Information Technology|Not Validating RPKI ROV|Internet Service Provider (ISP)
55962,598,101,CN,"Beijing Kuaishou Technology Co., Ltd.","Media, Publishing, and Broadcasting|Music and Video Industry|Computer and Information Technology"
134542,597,68,CN,China Unicom,Computer and Information Technology|Internet Service Provider (ISP)
137693,580,41,CN,"CHINATELECOM Guangxi Nanning IDC networkdescr: Nanning , Guangxi Province, P.R.China.",Internet Service Provider (ISP)|Not Validating RPKI ROV|Computer and Information Technology
131486,575,185,CN,"Beijing Jingdong 360 Degree E-commerce Co., Ltd.",Hosting and Cloud Provider|Computer and Information Technology
134766,515,121,CN,CHINANET Yunnan province IDC2 network,Computer and Information Technology|Internet Service Provider (ISP)
139201,494,68,CN,China Telecom,Phone Provider|Internet Service Provider (ISP)|Computer and Information Technology
137697,491,155,CN,"CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhou , Jiangsu Province, P.R.China.",Computer and Information Technology|Internet Service Provider (ISP)
17816,481,116,CN,China Unicom,Eyeball|Not Validating RPKI ROV|Computer and Information Technology
58519,475,291,CN,Cloud Computing Corporation,Content|Not Validating RPKI ROV|Computer and Information Technology
45062,469,263,CN,"NetEase Building No.16 Ke Yun Road,",Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)
131516,466,72,CN,"Jinhua Weian InfoTech Co., Ltd","Education and Research|Online Informational Content|Media, Publishing, and Broadcasting"
58542,464,118,CN,"Tianjij,300000",Content|Not Validating RPKI ROV|Computer and Information Technology
24361,454,228,CN,CERNET2 IX at Southeast University,"Colleges, Universities, and Professional Schools|Not Validating RPKI ROV|Education and Research"
136194,453,15,CN,"Huangshi, Hubei Province, P.R.China.",Computer and Information Technology|Internet Service Provider (ISP)
137698,453,17,CN,"Haerbing , Heilongjiang Province, P.R.China.","Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Not Validating RPKI ROV"
58593,445,332,CN,"Shanghai Blue Cloud Technology Co.,Ltd",Content|Not Validating RPKI ROV|Computer and Information Technology
141998,421,20,CN,China Telecom,"Media, Publishing, and Broadcasting|Museums, Libraries, and Entertainment|Music and Video Industry"
24400,407,221,CN,China Mobile,Carrier|Validating RPKI ROV|Computer and Information Technology
136188,406,221,CN,"NINGBO, ZHEJIANG Province, P.R.China.",Content|Not Validating RPKI ROV|Computer and Information Technology
134425,399,23,CN,China Telecom,Other
7497,392,241,CN,CNIC-CAS,Eyeball|Validating RPKI ROV|Internet Service Provider (ISP)
24444,363,80,CN,China Mobile,Eyeball|Validating RPKI ROV|Internet Service Provider (ISP)
148981,356,24,CN,China Telecom,"Media, Publishing, and Broadcasting|Museums, Libraries, and Entertainment|Music and Video Industry"
58541,351,45,CN,"Qingdao,266000",Computer and Information Technology|Not Validating RPKI ROV|Internet Service Provider (ISP)
138421,335,245,CN,China Unicom,"Server Hosting|Not Validating RPKI ROV|Media, Publishing, and Broadcasting"
134760,334,123,CN,"Shijiazhuang IDC network, CHINANET Hebei province",Internet Service Provider (ISP)|Computer and Information Technology
134762,328,119,CN,CHINANET Liaoning province Dalian MAN network,"Eyeball|Not Validating RPKI ROV|Investment, Portfolio Management, Pensions and Funds"
134764,327,48,CN,CHINANET Guangdong province network,Internet Service Provider (ISP)|Not Validating RPKI ROV|Computer and Information Technology
9802,322,105,CN,21vianet(China) Inc.,VPN Host|Validating RPKI ROV
9308,320,105,CN,21vianet(China) Inc.,VPN Host|Not Validating RPKI ROV|Education and Research
134420,315,107,CN,Chongqing Telecom,Computer and Information Technology|Not Validating RPKI ROV|Internet Service Provider (ISP)
151397,303,28,CN,China Telecom,"Anycast|Museums, Libraries, and Entertainment|Media, Publishing, and Broadcasting"
24355,301,152,CN,CERNET2 IX at University of Electronic Science and Technology of China,"Colleges, Universities, and Professional Schools|Validating RPKI ROV|Education and Research"
55992,301,54,CN,Beijing Qihu Technology Company Limited,Content|Not Validating RPKI ROV|Hosting and Cloud Provider
24357,299,215,CN,CERNET2 IX at South China University of Technology,"Education and Research|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools"
63727,286,213,CN,Huawei,Computer and Information Technology|Internet Service Provider (ISP)|Hosting and Cloud Provider
24364,284,181,CN,CERNET2 IX at Shanghai Jiaotong University,Eyeball|Not Validating RPKI ROV|Education and Research
133776,278,88,CN,Quanzhou,Computer and Information Technology|Internet Service Provider (ISP)
24362,266,168,CN,CERNET2 IX at University of Science and Technology of China,"Colleges, Universities, and Professional Schools|Not Validating RPKI ROV|Education and Research"
140979,247,87,CN,China Unicom,"Server Hosting|Internet Service Provider (ISP)|Media, Publishing, and Broadcasting"
140293,235,129,CN,China Telecom,"Media, Publishing, and Broadcasting|Music and Video Industry|Museums, Libraries, and Entertainment"
4816,230,125,CN,China Telecom (Group),Server Hosting|Not Validating RPKI ROV|Internet Service Provider (ISP)
23910,229,181,CN,China Next Generation Internet CERNET2,IPv6 only|Not Validating RPKI ROV|Research and Development Organizations
133865,227,49,CN,"Beijing IQIYI Science & Technology Co., Ltd.",Tranco 10k Host|Computer and Information Technology
24349,226,193,CN,CERNET2 IX at Peking University,"Colleges, Universities, and Professional Schools|Not Validating RPKI ROV|Education and Research"
136191,226,41,CN,"YICHANG, Hubei Province, P.R.China.",Internet Service Provider (ISP)|Computer and Information Technology
37936,223,43,CN,"15F,Ideal Plaza No.58 Bei Si Huan Xi Road","Tranco 10k Host|Food, Grocery, Beverages|Retail Stores, Wholesale, and E-commerce Sites"
138949,222,12,CN,China Telecom,Computer and Information Technology|Internet Service Provider (ISP)|Phone Provider
24367,218,146,CN,CERNET2 IX at Zhejiang University,"IPv6 only|Validating RPKI ROV|Colleges, Universities, and Professional Schools"
134765,218,63,CN,CHINANET Yunnan province IDC1 network,Computer and Information Technology|Internet Service Provider (ISP)
