asn,facility,country
10111,Global Switch Hong Kong,HK
42962,Telehouse – OSAKA 1&2,JP
45102,Digital Realty Madrid MAD1-2,ES
24429,Digital Realty Madrid MAD1-2,ES
17428,Telehouse - Beijing BEZ,CN
131285,CNI/ISC DC CBR,ID
132203,kt cloud Mokdong(MD2),KR
132591,Telehouse Toronto (151 Front St West),CA
153712,Shenzhen Baiwangxinyun Datacenter,CN
151230,Shenzhen Baiwangxinyun Datacenter,CN
131530,Shenzhen Baiwangxinyun Datacenter,CN
10111,Shenzhen Baiwangxinyun Datacenter,CN
149057,Shenzhen Baiwangxinyun Datacenter,CN
24429,VITRO Makati 2,PH
45102,VITRO Makati 2,PH
132203,VITRO Makati 2,PH
4134,"Equinix DC1-DC15,DC21-DC22 - Ashburn",US
132203,"Equinix DC1-DC15,DC21-DC22 - Ashburn",US
45102,"Equinix DC1-DC15,DC21-DC22 - Ashburn",US
24429,"Equinix DC1-DC15,DC21-DC22 - Ashburn",US
45102,EdgeConneX Atlanta (EDCATL02),US
55967,Equinix HK3 - Hong Kong,HK
146834,Equinix HK3 - Hong Kong,HK
140633,Equinix HK3 - Hong Kong,HK
45102,"True IDC - North Muang Thong, Thailand",TH
132203,"True IDC - North Muang Thong, Thailand",TH
24429,"Equinix PA2 - Paris, Saint-Denis",FR
45102,Global Switch Singapore,SG
42962,Global Switch Singapore,SG
202335,Qupra DC,NL
24429,Equinix SG2 - Singapore,SG
132203,ODATA DC SP01,BR
208830,GDS Shenzhen San,CN
131530,GDS Shenzhen San,CN
205532,GDS Shenzhen San,CN
149057,GDS Shenzhen San,CN
45102,AIMS Kuala Lumpur,MY
132203,AIMS Kuala Lumpur,MY
24429,AIMS Kuala Lumpur,MY
205532,China Unicom (Hong Kong) Global Center,HK
4837,China Unicom (Hong Kong) Global Center,HK
4842,China Unicom (Hong Kong) Global Center,HK
209306,China Unicom (Hong Kong) Global Center,HK
42962,"Equinix AM6 - Amsterdam, Duivendrechtsekade",NL
4134,"Equinix AM5 - Amsterdam, Schepenbergweg",NL
24429,CS LoxInfo Data Center - The Cloud,TH
153725,firstcolo - FRA4,DE
211729,firstcolo - FRA4,DE
42962,CoreSite - Chicago (CH2),US
24429,Digital Realty Stockholm STO1-6,SE
45102,Equinix DX1 - Dubai,AE
42962,maincubes FRA01,DE
4842,Arrow Calgary DC2,CA
209306,Arrow Calgary DC2,CA
42962,DataLine  Moscow DC OST,RU
42962,Digital Realty Marseille MRS1/2/3/4,FR
132203,Digital Realty Marseille MRS1/2/3/4,FR
205532,Equinix HK5 - Hong Kong,HK
42962,Tiscali Palermo,IT
132203,Equinix IL2 - Istanbul,TR
142111,CoreSite - Los Angeles (LA1) One Wilshire,US
137813,CoreSite - Los Angeles (LA1) One Wilshire,US
42962,CoreSite - Los Angeles (LA1) One Wilshire,US
4837,CoreSite - Los Angeles (LA1) One Wilshire,US
133952,CoreSite - Los Angeles (LA1) One Wilshire,US
4134,CoreSite - Los Angeles (LA1) One Wilshire,US
138365,"Equinix ME4 - Melbourne, Derrimut (formerly Metronode Melbourne 2)",AU
55967,H5 Data Centers Silicon Valley,US
133952,Equinix SE2/SE3 - Seattle,US
42962,Equinix SE2/SE3 - Seattle,US
24429,Equinix SE2/SE3 - Seattle,US
140682,Keppel Data Centres | Huizhou Data Centre,CN
132203,Digital Realty Frankfurt FRA1-27,DE
45102,Digital Realty Frankfurt FRA1-27,DE
4837,Digital Realty Frankfurt FRA1-27,DE
42962,Digital Realty Frankfurt FRA1-27,DE
133952,Digital Realty Frankfurt FRA1-27,DE
55967,Digital Realty Frankfurt FRA1-27,DE
4134,Digital Realty Frankfurt FRA1-27,DE
42962,Chief LY Building Taipei,TW
24429,Chief LY Building Taipei,TW
