asn,ixp,country
58336,SBIX Zurich,CH
213891,BGP.Exchange - Dusseldorf,DE
7721,BGP.Exchange - Dusseldorf,DE
215502,BGP.Exchange - Dusseldorf,DE
39753,BGP.Exchange - Dusseldorf,DE
142553,BGP.Exchange - Dusseldorf,DE
151194,BGP.Exchange - Dusseldorf,DE
215007,BGP.Exchange - Dusseldorf,DE
140915,BGP.Exchange - Dusseldorf,DE
153725,DE-CIX Hamburg,DE
45102,DataLine-IX,RU
200936,Pigeon IX,US
213891,Pigeon IX,US
151785,Pigeon IX,US
151673,Pigeon IX,US
140915,Pigeon IX,US
151674,Pigeon IX,US
150184,Pigeon IX,US
139317,Pigeon IX,US
203236,Pigeon IX,US
216299,Pigeon IX,US
214963,Pigeon IX,US
24429,IXPN Lagos,NG
150184,Impart IX,SG
140915,Impart IX,SG
24429,1-DE,DE
142553,IXP NL DRO,NL
131483,CN-IX-SH,CN
59027,CN-IX-SH,CN
45090,CN-IX-SH,CN
55990,CN-IX-SH,CN
200536,BGP.Exchange - Frankfurt,DE
207303,BGP.Exchange - Frankfurt,DE
205369,BGP.Exchange - Frankfurt,DE
208754,BGP.Exchange - Frankfurt,DE
210352,BGP.Exchange - Frankfurt,DE
137908,BGP.Exchange - Frankfurt,DE
212985,BGP.Exchange - Frankfurt,DE
213891,BGP.Exchange - Frankfurt,DE
140915,BGP.Exchange - Frankfurt,DE
139216,BGP.Exchange - Frankfurt,DE
211575,BGP.Exchange - Frankfurt,DE
215007,BGP.Exchange - Frankfurt,DE
210426,BGP.Exchange - Frankfurt,DE
142553,BGP.Exchange - Frankfurt,DE
151194,BGP.Exchange - Frankfurt,DE
214575,BGP.Exchange - Frankfurt,DE
216056,DataSphere Internet Exchange (Hong Kong),HK
150289,DataSphere Internet Exchange (Hong Kong),HK
210352,DataSphere Internet Exchange (Hong Kong),HK
214955,DataSphere Internet Exchange (Hong Kong),HK
199932,DataSphere Internet Exchange (Hong Kong),HK
7721,DataSphere Internet Exchange (Hong Kong),HK
216299,DataSphere Internet Exchange (Hong Kong),HK
211575,DataSphere Internet Exchange (Hong Kong),HK
140682,DataSphere Internet Exchange (Hong Kong),HK
45102,CIX-ATL,US
214933,BGP.Exchange - Toronto,CA
201705,BGP.Exchange - Toronto,CA
213891,BGP.Exchange - Seoul,KR
37968,AMS-IX Hong Kong,HK
24429,AMS-IX Hong Kong,HK
45102,DCI Indonesia DCI-IX,ID
45102,MSK-IX Moscow,RU
24429,MSK-IX Moscow,RU
45102,BIX Jakarta,ID
215007,BGP.Exchange - Melbourne,AU
45102,DE-CIX ASEAN,SG
142553,BGP.Exchange - London,GB
215786,BGP.Exchange - London,GB
215007,BGP.Exchange - London,GB
204856,BGP.Exchange - London,GB
212985,BGP.Exchange - London,GB
200890,BGP.Exchange - London,GB
208754,BGP.Exchange - London,GB
200936,BGP.Exchange - London,GB
210352,BGP.Exchange - London,GB
132203,France-IX Marseille,FR
213605,KCIX,US
146950,KCIX,US
212793,KCIX,US
150289,KCIX,US
44421,KCIX,US
211575,BGP.Exchange - Zurich,CH
215007,BGP.Exchange - Zurich,CH
214955,BGP.Exchange - Zurich,CH
204856,BGP.Exchange - Zurich,CH
151194,BGP.Exchange - Zurich,CH
200890,BGP.Exchange - Zurich,CH
142553,BGP.Exchange - Zurich,CH
58336,FREMIX,US
200936,FREMIX,US
139589,FREMIX,US
199691,FREMIX,US
213605,FREMIX,US
212793,FREMIX,US
216056,FREMIX,US
149793,FREMIX,US
24429,GNM-IX,NL
200536,Zero Internet eXchange San Jose,US
140682,Zero Internet eXchange San Jose,US
211575,Zero Internet eXchange San Jose,US
151785,BGP.Exchange - Tokyo,JP
214933,BGP.Exchange - Tokyo,JP
39753,BGP.Exchange - Tokyo,JP
207091,BGP.Exchange - Tokyo,JP
200936,BGP.Exchange - Tokyo,JP
205008,BGP.Exchange - Tokyo,JP
204856,BGP.Exchange - Tokyo,JP
213782,BGP.Exchange - Tokyo,JP
213891,BGP.Exchange - Tokyo,JP
214848,BGP.Exchange - Tokyo,JP
138535,BGP.Exchange - Tokyo,JP
211575,BGP.Exchange - Tokyo,JP
216056,BGP.Exchange - Tokyo,JP
214575,BGP.Exchange - Tokyo,JP
210352,BGP.Exchange - Tokyo,JP
45102,JTIX (Thailand),TH
132591,JTIX (Thailand),TH
207292,ARIX,US
45102,JKT-IX,ID
212985,BGP.Exchange - Berlin,DE
204856,BGP.Exchange - Berlin,DE
24429,MyIX,MY
132203,MyIX,MY
45102,MyIX,MY
209306,Poema IX,TW
150184,Poema IX,TW
139888,Poema IX,TW
215750,Poema IX,TW
