src,dst
293,24429
4808,133865
10111,49544
6424,153725
4837,7195
3204,202782
4809,24516
4775,146762
45102,210937
139799,199524
4635,45102
25152,213605
4134,132203
1828,142111
10111,133210
4809,4826
55967,63927
8283,132203
50869,199392
199932,206499
20473,205794
4809,38195
28716,132203
45102,45796
45102,204092
17639,38345
701,9929
38082,132203
4134,57344
4637,9929
7473,133865
7713,63631
35661,209650
24429,36994
6663,55967
32590,213605
10111,57304
59105,132203
6696,209650
3214,153725
36236,133865
53667,216299
45102,49434
50869,200936
59318,132203
4538,55720
58299,199932
24115,24429
58952,132203
24429,55329
17557,133865
9505,132203
153725,199938
199392,213151
4134,4766
133865,142271
57050,212164
48646,213605
42541,212793
51184,153725
48362,55967
1031,4837
205794,210937
34854,209650
29208,55967
24429,132337
4134,12713
24429,209090
8220,24429
9304,133865
9902,24429
55967,140627
3214,213605
9929,17621
10111,138997
8966,10111
7713,137753
5580,137753
6939,133865
24429,57344
55967,212024
53062,132203
200959,216182
4847,10100
553,153725
1836,45102
4134,8888
17676,24429
24429,38001
4134,9009
21320,24429
4837,58299
1828,4809
199392,209823
57050,216299
61568,132203
35280,133865
50629,132203
4809,63956
33891,55967
4809,151326
45701,55967
48185,132203
39351,55967
7721,151673
9002,133865
7473,24429
4842,24482
23764,140633
18106,133865
134578,135391
39120,63631
24429,29049
34927,209294
4134,21412
21859,133865
4780,63631
35661,212793
8298,132203
16637,24429
38195,132203
8298,202782
139799,263152
1267,55967
6939,212793
24429,40271
6696,24429
24482,132203
3399,24429
56987,132203
25091,132203
4809,45352
12552,24429
3216,24429
3399,4134
955,24429
199938,209650
6939,24429
39642,209650
24429,271253
7497,23673
4134,6057
4134,28917
25091,202782
7195,153725
39351,199392
4837,8220
4538,23910
11039,24429
58057,209650
45352,132203
209823,212793
17433,216299
7497,7713
14537,134578
10111,59105
38008,132203
132203,142271
212164,216182
34549,55967
9505,10111
20932,132203
200959,213151
39351,200936
24482,146834
16552,133865
24429,42541
58511,142111
24429,56662
49544,137753
24429,51185
29691,153725
5580,146762
200242,205794
15802,55967
25220,209650
24429,39642
21859,24429
39249,132203
7721,204508
51185,200959
4651,142111
4229,24429
24429,28917
4775,132203
20485,146762
41327,45102
5405,55967
4538,39120
4134,35280
9002,140633
41095,45102
34927,213605
45102,58511
4134,199524
7721,17433
45102,55720
21859,140633
6461,132203
63927,132203
34927,150289
24429,45629
34549,199392
174,24429
7721,12198
174,4134
9304,142111
5713,24429
4181,132203
32590,209650
57050,200959
7721,199073
6939,216299
34019,55967
24429,57777
25394,45102
45102,212635
4637,132203
37100,45102
45102,60539
7552,24429
206499,213605
34927,199310
6453,45102
6057,45102
24429,35280
38880,133865
198150,213605
8758,55967
6696,45102
16552,24429
24429,199524
200242,210426
3204,151673
2914,134578
16552,139799
955,45102
559,45102
32590,133865
58299,202782
3214,209650
4837,22356
17660,55967
24429,25160
132203,264409
24482,211575
4837,198385
24516,142111
31027,45102
4134,4812
4538,7497
45102,53828
15958,24429
3320,4837
4538,41095
4635,55967
7720,216299
24429,62167
13237,132203
1299,132203
199392,209022
24429,34288
153725,212024
4809,132203
14840,45102
924,200936
4134,37497
20562,45102
49544,146762
4809,6939
45102,57695
4134,56987
4809,132337
20473,139317
174,142111
37721,132203
211729,212635
955,7721
48646,199932
53062,55967
24429,31510
2518,24429
35710,45102
4538,36236
6424,24429
2914,4134
10111,38880
32590,212793
3333,212793
4809,49544
47147,132203
139317,199932
45489,146762
7497,24482
50629,153725
4809,38001
12779,55967
4641,132203
139317,207529
9425,38255
32590,139799
24429,37497
34872,213605
23673,133865
55967,58511
24429,56987
132203,198249
211575,216182
4809,133210
8298,55967
7768,153725
4637,10111
45896,133865
4134,9002
24961,213605
4229,4809
3214,24429
7720,7721
50629,151673
4837,45352
24482,153725
55967,61573
56987,153725
137409,153725
32590,212164
4134,39351
50629,199392
139317,205369
132337,137753
139317,207705
7768,213605
4608,24429
13058,132203
34854,200959
25160,132203
7713,132203
24429,263152
