asn,v4,v6,roa,anycast,total
9808,14124,6922,137,6,21046
4538,5255,5072,4100,0,10327
56046,3672,1537,14,7,5209
23910,0,4104,4098,0,4104
56041,1876,1892,8,4,3768
140292,2509,614,0,0,3123
4134,2232,632,66,1,2864
24547,948,1740,8,0,2688
4808,1503,1100,22,2,2603
56047,1728,733,8,0,2461
17622,454,1964,1,0,2418
45090,2264,47,28,20,2311
4837,1116,590,13,0,1706
56044,380,1247,8,1,1627
4811,1491,112,101,0,1603
24444,1115,476,8,1,1591
136958,431,966,13,0,1397
24445,804,584,8,1,1388
56045,934,313,4,3,1247
17623,802,442,0,0,1244
132203,1093,29,384,39,1122
45102,1025,96,1018,34,1121
24429,684,397,785,38,1081
24400,516,511,6,1,1027
56048,897,93,26,0,990
37963,782,141,352,20,923
4847,903,17,16,2,920
23724,817,89,34,0,906
132525,614,213,8,0,827
134774,39,768,0,0,807
17621,382,403,57,0,785
134543,157,625,0,0,782
56040,622,140,19,0,762
140061,706,51,0,0,757
7497,457,174,0,0,631
4812,498,104,45,0,602
38283,529,54,70,0,583
38019,464,79,8,0,543
17638,523,19,2,0,542
140293,435,10,5,0,445
135061,257,188,5,0,445
134810,305,126,8,0,431
55990,404,21,138,2,425
4809,253,164,137,0,417
9929,241,130,1,0,371
140726,125,229,1,0,354
58461,348,0,2,0,348
56042,204,123,8,0,327
137718,305,6,304,0,311
58519,268,17,4,0,285
138421,244,39,2,1,283
133774,249,24,4,0,273
63835,243,27,23,0,270
24138,263,0,0,0,263
214848,0,259,258,0,259
140345,36,209,0,0,245
139007,172,70,0,0,242
58466,205,31,12,0,236
134756,185,44,0,0,229
24361,33,192,0,0,225
24363,3,216,0,0,219
140647,30,188,0,0,218
24357,16,201,0,0,217
140318,210,4,0,0,214
137697,202,6,0,0,208
132225,26,180,0,0,206
136190,191,10,0,0,201
58563,163,35,0,0,198
134420,178,18,0,0,196
140979,189,5,0,0,194
140309,190,4,0,0,194
131562,53,141,0,0,194
24360,0,194,0,0,194
17816,130,62,5,0,192
140636,58,120,0,0,178
38365,166,12,3,1,178
137689,83,80,0,0,163
140311,148,4,0,0,152
134768,112,39,33,0,151
141998,148,0,0,0,148
140319,143,4,0,0,147
9814,144,3,0,0,147
45062,139,3,0,0,142
9812,134,8,22,0,142
24358,7,134,0,0,141
24362,15,125,1,0,140
135089,132,4,0,0,136
137694,105,26,0,0,131
138407,113,16,0,0,129
24367,0,128,0,0,128
146966,70,57,0,0,127
137693,114,12,0,0,126
141425,122,4,0,0,126
24355,8,116,0,0,124
17964,121,0,0,0,121
140308,117,3,0,0,120
138182,0,120,0,0,120
134238,107,10,0,0,117
136959,93,22,0,0,115
140330,9,105,0,0,114
59019,89,25,0,0,114
55960,80,34,0,0,114
24364,21,93,0,0,114
17429,104,7,2,0,111
24353,6,105,0,0,111
134771,96,7,0,0,103
4835,88,15,21,0,103
140329,14,87,0,0,101
23650,98,3,7,0,101
24151,54,46,0,51,100
137692,37,62,0,0,99
