asn,CAIDA ASRank,APNIC eyeball estimates (CN),IHR country ranking: Total eyeball (CN),IHR country ranking: Total AS (CN),CrUX top 1M (CN)
24490,60,,,,
4134,129,1,3,1,
4837,229,3,4,2,
9808,294,2,1,6,
4808,602,5,8,17,
4847,604,22,,13,
10111,712,,,27,
4809,723,66,,,
4812,776,4,6,26,
56048,813,9,15,,
24400,887,8,14,,
17621,903,19,,,
146788,1010,,,,
24489,1018,,,,
56040,1306,13,19,20,
23724,1760,48,,,
4811,2118,63,,23,
4538,2239,29,,15,
9394,2241,,,,
9929,2370,98,,,
24429,2395,,,,
58466,2527,,,,
56046,2528,6,10,,
24138,2532,,,,
38283,2731,76,,24,
23650,3256,,,,
58879,3359,,,,
58461,3613,28,,,
7497,3630,84,,,
134774,3662,47,,,
134578,3841,,,,
56041,4083,7,13,,
24444,4084,10,16,,
136958,4085,53,,,
17623,4098,26,,,
153726,4439,,,,
134760,4705,65,,,
58542,4706,89,,,
132203,4717,,,,
138421,4721,,,,
138950,4722,,,,
17622,4734,27,,,
139080,4740,39,,,
134773,4751,,,,
58563,4783,41,,,
140726,4793,38,,,
139721,5476,,,,
24348,5712,,,,
4816,5731,99,,,
135061,5736,70,,,
136195,5737,91,,,
131574,5738,,,,
134542,5755,,,,
38019,5769,18,,,
58540,5838,62,,,
24151,6374,,,,
42962,6845,,,,
23911,7274,,,,
140895,7307,,,,
151640,7522,,,,
4842,7525,,,21,
138371,7534,,,,
134420,7554,85,,,
134756,7555,79,,,
45102,7559,,,,
17816,7565,20,,,
9812,7578,,,,
138407,7589,94,,,
139203,7590,49,,,
24413,7601,,,,
56044,7604,12,18,,
56047,7608,16,22,,
24547,7611,14,20,,
17638,7617,33,,,
140061,7627,64,,,
132525,7628,17,,,
23771,7630,,,,
137691,7640,,,,
134761,7645,,,,
10206,7646,,,,
141679,7649,,,,
17969,7651,,,,
134810,7667,25,,,
17799,7681,,,,
133774,7693,57,,,
136198,7750,,,,
137794,7755,,,,
58541,7805,87,,,
139018,7828,,,,
9814,7830,,,,
