asn,name,org,countries,tags,prefix_count,ranking_count,peeringdb_ids
23911,CNGI-BJIX-AS-AP China Next Generation Internet Beijing IX,China Next Generation Internet Beijing IX,CN,"Carrier|Colleges, Universities, and Professional Schools|Education and Research",4,1,1
38255,FITI-AS-AP China Education and Research Network CERNET,China Education and Research Network (CERNET),CN,Carrier|Internet Service Provider (ISP)|Computer and Information Technology|Academic,5,1,0
4134,"CHINANET-BACKBONE No.31,Jin-rong Street",China Telecom,CN,Carrier|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|Mobile Data/Carrier|Home ISP,2864,4,1
4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,China Unicom,CN,Carrier|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|Home ISP|Tranco 10k Host,1706,6,1
4538,ERX-CERNET-BKB China Education and Research Network Center,China Education and Research Network Center,CN,"Eyeball|Not Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools|Tranco 10k Host|Academic",10327,3,0
9808,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.",China Mobile,CN,Carrier|Validating RPKI ROV|Phone Provider|Computer and Information Technology|Internet Service Provider (ISP)|Home ISP,21046,4,0
17621,CNCGROUP-SH China Unicom Shanghai network,China Unicom,CN,Carrier|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|Tranco 10k Host|Mobile Data/Carrier,785,2,0
58543,CHINATELECOM-GUANGDONG-IDC Guangdong,Guangdong,CN,Computer and Information Technology|Not Validating RPKI ROV|Internet Service Provider (ISP),54,1,0
4847,CNIX-AP China Networks Inter-Exchange,China Networks Inter-Exchange,CN,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|Tranco 10k Host|Business Broadband,920,3,0
17622,CNCGROUP-GZ China Unicom Guangzhou network,China Unicom,CN,Eyeball|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|Mobile Data/Carrier|Server Hosting,2418,2,0
4812,CHINANET-SH-AP China Telecom Group,China Telecom (Group),CN,Eyeball|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|Business Broadband|Mobile Data/Carrier,602,4,0
4808,CHINA169-BJ China Unicom Beijing Province Network,China Unicom,CN,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|Mobile Data/Carrier|Home ISP,2603,4,0
9929,CUII CHINA UNICOM Industrial Internet Backbone,CNCGROUP IP network of ShangHai IDC,CN,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|Server Hosting|Business Broadband,371,2,0
45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",Alibaba Group,CN|HK,Eyeball|Not Validating RPKI ROV|Computer and Information Technology|Software Development|Hosting and Cloud Provider|Anycast,1121,8,1
7497,CSTNET-AS-AP Computer Network Information Center of Chinese Academy of Sciences CNIC-CAS,CNIC-CAS,CN,Eyeball|Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|Academic|Government,631,2,0
17623,CNCGROUP-SZ China Unicom Shenzen network,China Unicom,CN,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|Home ISP|Mobile Data/Carrier,1244,2,0
58466,CT-GUANGZHOU-IDC CHINANET Guangdong province network,CHINANET Guangdong province network,CN,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|Software Development|Tranco 10k Host,236,1,0
56040,CMNET-GUANGDONG-AP China Mobile communications corporation,China Mobile Communications Corporation,CN,Eyeball|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|Home ISP|Business Broadband,762,4,0
24490,TEIN2-SG-AP Trans-Eurasia Information Network TEIN2 - SG,Trans-Eurasia Information Network (TEIN2) - SG,CN,Computer and Information Technology|Internet Service Provider (ISP),2,1,0
10111,ZEONET-AS-AP Zeofast Network,Zeofast Network,CN|HK,Manufacturing|Not Validating RPKI ROV,43,4,1
