country_code,as_count,prefix_count,ixp_count,facility_count
AD,9,9332,0,0
AE,199,24763,2,7
AF,76,9112,1,0
AG,22,408,0,0
AI,8,431,0,0
AL,136,5914,1,5
AM,148,6025,1,6
AO,80,936,2,8
AP,2,44,0,0
AQ,0,59,0,0
AR,1336,38127,4,60
AS,3,61,0,0
AT,790,14192,6,51
AU,3091,63941,34,133
AW,5,604,0,0
AX,4,2007,0,0
AZ,113,1671,0,7
BA,60,807,1,1
BB,12,356,0,0
BD,1987,14418,8,22
BE,403,15136,2,33
BF,33,679,2,3
BG,758,15802,7,25
BH,27,5605,1,5
BI,9,133,1,0
BJ,21,241,1,1
BL,4,6,1,1
BM,25,2841,0,0
BN,11,883,1,3
BO,67,1462,2,2
BQ,6,58,1,1
BR,9226,131673,52,247
BS,15,2034,0,1
BT,42,162,1,1
BW,39,312,0,0
BY,118,1375,1,2
BZ,39,1756,0,0
CA,2526,59664,24,132
CD,60,2486,4,4
CF,4,24,0,0
CG,15,123,2,2
CH,1079,21126,14,56
CI,30,1657,1,2
CK,2,20,0,0
CL,440,17104,9,31
CM,33,2563,3,7
CN,6660,104315,19,30
CO,554,21036,7,19
CR,126,5277,2,2
CU,7,68,0,0
CV,11,55,1,1
CW,40,322,1,2
CY,190,5707,2,1
CZ,725,9623,4,27
DE,3272,77641,53,274
DJ,5,104,1,1
DK,479,2455,8,28
DM,9,369,1,0
DO,221,3277,3,4
DZ,14,1098,0,0
EC,269,12760,8,8
EE,254,3913,4,7
EG,93,10932,3,6
ER,1,22,0,0
ES,1191,44014,14,53
ET,10,493,1,2
EU,405,2017,0,0
FI,398,5058,14,33
FJ,22,204,1,0
FK,2,9,0,0
FM,6,21,0,0
FO,7,29,0,0
FR,2238,25358,24,175
GA,13,151,1,3
GB,3330,49227,22,196
GD,12,93,1,0
GE,170,8425,1,4
GF,14,1255,1,1
GG,12,164,0,0
GH,119,1037,3,6
GI,26,187,0,0
GL,1,28,0,0
GM,12,116,1,1
GN,19,86,1,1
GP,14,1082,0,1
GQ,8,34,0,1
GR,262,5949,8,10
GS,1,1,0,0
GT,101,3515,2,3
GU,12,190,4,6
GW,2,15,0,0
GY,7,131,0,0
HK,1468,38522,16,48
HN,121,6811,2,0
HR,182,4022,1,7
HT,13,243,1,0
HU,304,1889,1,5
ID,3859,33359,70,162
IE,315,4586,6,21
IL,385,9948,3,18
IM,30,168,0,0
IN,6204,99553,38,199
IO,1,12,0,0
IQ,222,8203,2,1
IR,867,9520,1,1
IS,94,367,3,12
IT,1322,19853,21,88
JE,12,178,0,0
JM,16,2381,1,0
JO,57,2126,1,4
JP,1339,30674,26,74
KE,253,7525,6,14
KG,69,514,3,2
KH,150,3474,3,7
KI,5,10,0,0
KM,3,26,0,0
KN,11,29,1,0
KP,1,4,0,0
KR,1192,39112,7,37
KW,85,2412,1,2
KY,20,293,0,0
KZ,247,5670,14,6
LA,42,801,0,1
LB,172,1524,3,1
LC,7,139,0,0
LI,29,74,2,2
LK,32,783,1,0
LR,18,2059,0,0
LS,11,79,0,0
LT,224,5338,4,8
LU,146,3674,1,13
LV,328,2410,4,6
LY,33,4523,0,0
MA,38,2438,2,3
MC,4,26,0,0
MD,212,1006,2,2
ME,33,145,1,0
MF,9,14,2,1
MG,11,2375,1,0
MH,11,31,0,0
MK,68,503,1,5
ML,11,180,1,1
MM,170,1348,3,5
MN,74,541,2,0
MO,22,688,0,1
MP,2,118,0,2
MQ,9,202,1,1
MR,10,130,0,0
MS,1,1,0,0
MT,57,654,0,0
MU,52,1481,1,3
MV,20,286,1,1
MW,36,2395,2,0
MX,764,44158,8,39
MY,408,9495,7,28
MZ,33,873,1,3
NA,22,405,1,1
NC,20,74,1,1
NE,9,120,0,0
NF,2,2,0,0
NG,286,5556,6,13
NI,34,1030,0,0
NL,1665,36244,34,136
NO,415,7246,11,35
NP,212,1426,2,4
NR,5,14,0,0
NU,2,10,0,0
NZ,735,8702,10,78
OM,26,1847,2,5
PA,156,10650,2,6
PE,246,13711,13,12
PF,6,5821,0,0
PG,41,264,3,0
PH,656,9552,13,19
PK,454,8364,1,9
PL,2488,13073,17,65
PM,2,40,0,0
PR,126,5102,2,9
PS,71,1279,2,3
PT,168,2380,6,11
