asn,category,tags
1,ISP,Technology Consulting Services|Not Validating RPKI ROV|Internet Service Provider (ISP)|Hosting and Cloud Provider
131169,ISP,"Media, Publishing, and Broadcasting|Law, Business, and Consulting Services|Computer and Information Technology|Internet Service Provider (ISP)"
131170,Other,"Not Validating RPKI ROV|Media, Publishing, and Broadcasting|Computer and Information Technology|Electronics and Computer Components"
131181,Other,Not Validating RPKI ROV|Computer and Information Technology
131190,ISP,"Insurance Carriers and Agencies|Investment, Portfolio Management, Pensions and Funds|Real Estate (Residential and/or Commercial)|Finance and Insurance"
131210,ISP,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
131215,ISP,Computer and Information Technology|Not Validating RPKI ROV|Internet Service Provider (ISP)
131218,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology|Service
131223,ISP,Computer and Network Security|Internet Service Provider (ISP)|Hosting and Cloud Provider|Software Development
131226,Eyeball,"Not Validating RPKI ROV|Colleges, Universities, and Professional Schools|Research and Development Organizations|Education and Research"
131232,ISP,"Other Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration|Computer and Information Technology|Finance and Insurance"
131235,ISP,Computer and Information Technology|Manufacturing|Electronics and Computer Components|Software Development
131250,Other,Computer and Information Technology
131255,ISP,Validating RPKI ROV|Insurance Carriers and Agencies|Software Development|Finance and Insurance
131256,Enterprise,"Law, Business, and Consulting Services|Service|Finance and Insurance|Investment, Portfolio Management, Pensions and Funds"
131262,Other,"Machinery|Validating RPKI ROV|Retail Stores, Wholesale, and E-commerce Sites|Manufacturing"
131263,Other,"Social Assistance (Temporary Shelters, Emergency Relief, Child Day Care, etc)|Health Care Services|Hospitals and Medical Centers|Service"
131265,Content/CDN,"Law, Business, and Consulting Services|Not Validating RPKI ROV|Hosting and Cloud Provider|Software Development"
131269,ISP,"Eyeball|Media, Publishing, and Broadcasting|Internet Service Provider (ISP)|Computer and Information Technology"
131277,ISP,Internet Service Provider (ISP)|Phone Provider|Computer and Information Technology
131283,Other,"Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance"
131299,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
131302,Other,Manufacturing|Chemical and Pharmaceutical Manufacturing|Anycast
