asn,category,tags
393216,Academic/Edu,"Not Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research"
1,ISP,Technology Consulting Services|Not Validating RPKI ROV|Internet Service Provider (ISP)|Hosting and Cloud Provider
2,Eyeball,"Eyeball|Validating RPKI ROV|Computer and Information Technology|Colleges, Universities, and Professional Schools"
3,Eyeball,"Eyeball|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research"
4,Academic/Edu,Academic|Not Validating RPKI ROV|Education and Research|Service
5,ISP,"Internet Service Provider (ISP)|Not Validating RPKI ROV|Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology"
6,ISP,"Software Development|Not Validating RPKI ROV|Law, Business, and Consulting Services|Computer and Information Technology"
393218,ISP,Computer and Information Technology|Software Development|Internet Service Provider (ISP)|Service
8,Eyeball,"Eyeball|Not Validating RPKI ROV|Media, Publishing, and Broadcasting|Finance and Insurance"
9,Eyeball,"Eyeball|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research"
10,Academic/Edu,Electronics and Computer Components|Manufacturing|Education and Research|Automotive and Transportation
11,Academic/Edu,Community Groups and Nonprofits|Education and Research
12,Eyeball,"Eyeball|Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools"
13,ISP,Internet Service Provider (ISP)|Computer and Information Technology
14,Eyeball,"Eyeball|Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research"
15,ISP,"Internet Service Provider (ISP)|Finance and Insurance|Computer and Information Technology|Banks, Credit Card Companies, Mortgage Providers"
16,ISP,"Utilities (Excluding Internet Service)|Education and Research|Law, Business, and Consulting Services|Service"
17,Eyeball,"Eyeball|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)"
18,Academic/Edu,"Academic|Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research"
19,Academic/Edu,"Technology Consulting Services|Validating RPKI ROV|Service|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)"
20,Academic/Edu,Academic|Validating RPKI ROV|Health Care Services|Hospitals and Medical Centers
21,Academic/Edu,"Military, Defense, National Security, and International Affairs|Not Validating RPKI ROV|Government and Public Administration|Community Groups and Nonprofits"
22,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
23,Academic/Edu,Research and Development Organizations|Education and Research
24,Academic/Edu,Research and Development Organizations|Validating RPKI ROV|Government|Education and Research
25,Academic/Edu,"Academic|Validating RPKI ROV|Government and Public Administration|Colleges, Universities, and Professional Schools"
26,Academic/Edu,Tranco 10k Host|Not Validating RPKI ROV|Computer and Information Technology|Search
27,Eyeball,"Eyeball|Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools"
393235,Other,"Not Validating RPKI ROV|Finance and Insurance|Construction and Real Estate|Banks, Credit Card Companies, Mortgage Providers"
29,Academic/Edu,"Academic|Validating RPKI ROV|Law, Business, and Consulting Services|Media, Publishing, and Broadcasting"
30,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Community Groups and Nonprofits|Software Development
31,Academic/Edu,"Academic|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research"
32,Academic/Edu,"Tor services|Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools"
33,ISP,Manufacturing|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
34,Academic/Edu,"Academic|Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools"
35,Academic/Edu,Education and Research|Not Validating RPKI ROV|Research and Development Organizations|Service
36,ISP,Software Development|Community Groups and Nonprofits|Computer and Network Security|Computer and Information Technology
37,Government,Government|Manufacturing|Health Care Services
