asn,category,tags
49152,Other,Computer and Information Technology|Software Development
212993,Other,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|IPv6 only|Personal ASN"
57346,Other,"Travel and Accommodation|Hotels, Motels, Inns, Other Traveler Accommodation"
204802,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
57348,Other,Software Development|Computer and Information Technology
204818,ISP,Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology
24600,ISP,Tranco 10k Host|Phone Provider|Computer and Information Technology|Internet Service Provider (ISP)
196633,Government,"Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration"
8218,ISP,Carrier|Computer and Information Technology|Internet Service Provider (ISP)|Validating RPKI ROV
213018,Other,"Museums, Libraries, and Entertainment|Recreation, Sports, and Performing Arts|IPv6 only"
57373,Academic/Edu,Education and Research
204835,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
8228,ISP,"Service|Internet Service Provider (ISP)|Computer and Information Technology|Law, Business, and Consulting Services"
214935,Unknown,
196658,ISP,Computer and Information Technology|Internet Service Provider (ISP)
213047,ISP,Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology
196670,ISP,"Health Care Services|Government and Public Administration|Software Development|Accountants, Tax Preparers, Payroll Services"
8255,Other,Tranco 10k Host|Technology Consulting Services|Computer and Information Technology|Software Development
214939,Content/CDN,Server Hosting
204869,Other,Not Validating RPKI ROV|Computer and Information Technology|Technology Consulting Services
49230,Other,Computer and Information Technology
196689,Eyeball,Service|Eyeball
41044,Other,"Retail Stores, Wholesale, and E-commerce Sites"
41045,Other,"Media, Publishing, and Broadcasting|Computer and Information Technology|Online Informational Content|Music and Video Industry"
204887,ISP,"Computer and Information Technology|Internet Service Provider (ISP)|Retail Stores, Wholesale, and E-commerce Sites"
204897,ISP,Phone Provider|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
204902,Unknown,
213095,Other,Software Development|Computer and Information Technology
41064,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Tranco 10k Host
8304,ISP,Server Hosting|Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV
8309,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
8310,ISP,Computer and Information Technology|Internet Service Provider (ISP)
213110,ISP,"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Community Groups and Nonprofits|Carrier"
57468,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
41090,ISP,Computer and Information Technology|Internet Service Provider (ISP)
24711,Other,Service
213135,Other,"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Community Groups and Nonprofits"
204948,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
41114,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV
196765,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Software Development
196766,ISP,Internet Service Provider (ISP)|Computer and Information Technology
8352,Other,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Real Estate (Residential and/or Commercial)|Construction and Real Estate|Validating RPKI ROV"
204960,Unknown,
49314,Other,"Computer and Information Technology|Online Music and Video Streaming Services|Media, Publishing, and Broadcasting|Music and Video Industry"
196773,ISP,Internet Service Provider (ISP)|Computer and Information Technology
41128,ISP,Phone Provider|Internet Service Provider (ISP)|Computer and Information Technology
8361,Other,"Retail Stores, Wholesale, and E-commerce Sites|Validating RPKI ROV"
8362,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV
204975,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology|Government and Public Administration
49328,ISP,Computer and Information Technology|Software Development|Internet Service Provider (ISP)
24763,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs|Computer and Network Security|Computer and Information Technology"
213184,ISP,Internet Service Provider (ISP)|Computer and Information Technology
198682,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
41157,ISP,"Service|Internet Service Provider (ISP)|Computer and Information Technology|Law, Business, and Consulting Services"
24776,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
213197,Enterprise,"Service|Law, Business, and Consulting Services"
8399,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
205010,ISP,Computer and Information Technology|Internet Service Provider (ISP)
205021,ISP,Computer and Information Technology|Internet Service Provider (ISP)
41191,Other,Computer and Information Technology
57581,ISP,"Software Development|Online Informational Content|Computer and Information Technology|Media, Publishing, and Broadcasting"
57584,Other,"Media, Publishing, and Broadcasting|Not Validating RPKI ROV"
57591,ISP,Internet Service Provider (ISP)|Computer and Information Technology
213244,Eyeball,"Retail Stores, Wholesale, and E-commerce Sites|IPv6 only|Personal ASN|Eyeball"
261,ISP,Internet Service Provider (ISP)|Computer and Information Technology
196869,ISP,Internet Service Provider (ISP)|Computer and Information Technology
213253,Academic/Edu,Education and Research|Personal ASN|IPv6 only
24843,Other,"Tranco 10k Host|Media, Publishing, and Broadcasting|Radio and Television Providers|VPN Host"
205068,Other,Computer and Information Technology|Software Development
41233,Other,"Finance and Insurance|Software Development|Banks, Credit Card Companies, Mortgage Providers|Service"
49434,ISP,Server Hosting|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
49441,Other,"Retail Stores, Wholesale, and E-commerce Sites"
57633,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
294,ISP,Internet Service Provider (ISP)|Computer and Information Technology
8487,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
49449,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
57642,Enterprise,"Service|Law, Business, and Consulting Services"
49451,Other,"Clothing, Fashion, Luggage|Retail Stores, Wholesale, and E-commerce Sites"
57654,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology|Service
49463,Other,Construction and Real Estate|Real Estate (Residential and/or Commercial)
41272,ISP,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
198706,ISP,Technology Consulting Services|Internet Service Provider (ISP)|Computer and Information Technology
213313,Government,"Government and Public Administration|Computer and Network Security|Military, Defense, National Security, and International Affairs|Computer and Information Technology"
205122,ISP,Software Development|Computer and Information Technology|Internet Service Provider (ISP)|Technology Consulting Services
49477,Content/CDN,"Content|Radio and Television Providers|Media, Publishing, and Broadcasting|Online Music and Video Streaming Services"
205126,ISP,Hosting and Cloud Provider|Computer and Information Technology|Internet Service Provider (ISP)|Personal ASN
213317,Government,"Government|Government and Public Administration|Government and Regulatory Agencies, Administrations, Departments, and Services"
24904,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
41291,Other,Computer and Information Technology|Software Development|Not Validating RPKI ROV
8528,Eyeball,"Eyeball|Recreation, Sports, and Performing Arts|Museums, Libraries, and Entertainment|Validating RPKI ROV"
