asn,category,tags
196608,ISP,Hosting and Cloud Provider|Computer and Information Technology|Internet Service Provider (ISP)|
57345,Other,"Utilities (Excluding Internet Service)|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|"
196609,Academic/Edu,"Education and Research|Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology|"
196610,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
8196,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Hosting and Cloud Provider|
24581,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology|
24582,ISP,Software Development|Computer and Information Technology|Internet Service Provider (ISP)|
40967,Other,"Software Development|Computer and Information Technology|Freight, Shipment, and Postal Services|"
196612,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
49161,Other,Machinery|Manufacturing|
57353,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
40971,Other,"Computer and Information Technology|Media, Publishing, and Broadcasting|Music and Video Industry|Software Development"
8204,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
196616,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
24590,ISP,"Internet Service Provider (ISP)|Service|Law, Business, and Consulting Services|Computer and Information Technology"
49166,Other,"Service|Buildings (Residential or Commercial)|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)"
8208,ISP,Validating RPKI ROV|Software Development|Construction and Real Estate|Internet Service Provider (ISP)
40976,Other,Computer and Information Technology|
57358,Content/CDN,"Server Hosting|Freight, Shipment, and Postal Services|"
196624,Other,Construction and Real Estate|Service|Real Estate (Residential and/or Commercial)|
213003,Other,Health Care Services|Personal ASN|
24603,ISP,Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
28,Eyeball,Research and Development Organizations|Education and Research|Community Groups and Nonprofits|Eyeball
40988,Content/CDN,Not Validating RPKI ROV|Hosting and Cloud Provider|Computer and Information Technology|Software Development
8222,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
24606,Government,"Government and Public Administration|Computer and Information Technology|Service|Law, Business, and Consulting Services"
57376,Other,"Clothing, Fashion, Luggage|Retail Stores, Wholesale, and E-commerce Sites|"
196636,Other,"Service|Investment, Portfolio Management, Pensions and Funds|Finance and Insurance|"
213027,Other,Community Groups and Nonprofits|
40999,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
49192,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
213033,Other,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Construction and Real Estate|"
