asn,category,tags
204800,Other,Other|
212992,Other,Software Development|Casinos and Gambling|Phone Provider|Computer and Information Technology
49158,ISP,Home ISP|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
7,ISP,"Government|Computer and Information Technology|Search|Government and Regulatory Agencies, Administrations, Departments, and Services"
213000,Other,Health Care Services|
213001,ISP,"Community Groups and Nonprofits|Computer and Information Technology|Internet Service Provider (ISP)|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)"
57356,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
24594,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
204819,Other,Computer and Information Technology|
196628,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Validating RPKI ROV|
213016,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Computer and Network Security|Not Validating RPKI ROV
40986,Other,"Media, Publishing, and Broadcasting|Service|"
8220,ISP,Carrier|Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV
204828,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Content|
49182,ISP,Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
40992,Other,"Finance and Insurance|Utilities (Excluding Internet Service)|Investment, Portfolio Management, Pensions and Funds|Electric Power Generation, Transmission, Distribution"
57377,Government,"Government and Public Administration|Government and Regulatory Agencies, Administrations, Departments, and Services|"
139301,ISP,Hosting and Cloud Provider|Software Development|Internet Service Provider (ISP)|Computer and Information Technology
196646,Other,Service|
41000,ISP,Content|Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology
204844,Content/CDN,Server Hosting|Hosting and Cloud Provider|Computer and Information Technology|
196656,Other,Computer and Information Technology|
41012,ISP,Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
204853,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
24633,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
49209,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
204857,Eyeball,"Service|Law, Business, and Consulting Services|Computer and Information Technology|Corporate/Enterprise"
139324,Other,Manufacturing|
41021,Other,"Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology|"
213051,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
49216,ISP,"Computer and Information Technology|Internet Service Provider (ISP)|Media, Publishing, and Broadcasting|Hosting and Cloud Provider"
57408,Government,"Law, Business, and Consulting Services|Government and Regulatory Agencies, Administrations, Departments, and Services|Service|Government and Public Administration"
196674,ISP,Not Validating RPKI ROV|Computer and Information Technology|Service|Internet Service Provider (ISP)
213059,ISP,Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology|
213060,ISP,"Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)"
57417,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Eyeball|
8266,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology|
24650,Enterprise,"Law, Business, and Consulting Services|Investment, Portfolio Management, Pensions and Funds|Service|Banks, Credit Card Companies, Mortgage Providers"
204876,Other,Software Development|Computer and Information Technology|
49229,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
8272,ISP,Service|Computer and Network Security|Internet Service Provider (ISP)|Computer and Information Technology
213074,ISP,"Computer and Information Technology|Internet Service Provider (ISP)|Community Groups and Nonprofits|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)"
8276,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Software Development|
24661,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Hosting and Cloud Provider|
213078,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
8282,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
24669,ISP,"Media, Publishing, and Broadcasting|Computer and Information Technology|Online Informational Content|Internet Service Provider (ISP)"
24670,Other,Manufacturing|Construction and Real Estate|
49247,Other,"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Service|"
213085,ISP,"Internet Service Provider (ISP)|Community Groups and Nonprofits|Computer and Information Technology|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)"
24673,Content/CDN,Computer and Information Technology|Hosting and Cloud Provider|
213090,Enterprise,"Law, Business, and Consulting Services|Service|"
213092,Other,Service|
24677,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Phone Provider|
213094,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
8296,Other,"Online Informational Content|Service|Media, Publishing, and Broadcasting|Validating RPKI ROV"
49263,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
204914,Content/CDN,"Server Hosting|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Construction and Real Estate|Buildings (Residential or Commercial)"
213112,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
57467,ISP,"Computer and Information Technology|Military, Defense, National Security, and International Affairs|Internet Service Provider (ISP)|Government and Public Administration"
213119,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Anycast|
204928,Unknown,
24705,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
204931,Other,Service|
57477,Unknown,
196741,Enterprise,"Travel and Accommodation|Service|Software Development|Law, Business, and Consulting Services"
41095,ISP,Carrier|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
196744,Academic/Edu,Computer and Information Technology|Education and Research|Not Validating RPKI ROV|
196745,ISP,Internet Service Provider (ISP)|Hosting and Cloud Provider|Computer and Information Technology|
8330,Other,Validating RPKI ROV|Service|
41099,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
57483,Other,Personal ASN|
204939,ISP,Internet Service Provider (ISP)|Computer and Information Technology|VPN Host|Eyeball
41103,Other,Validating RPKI ROV|Manufacturing|
8336,Other,Validating RPKI ROV|Service|
24720,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
