asn,category,tags
131073,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
131077,Unknown,
131078,Unknown,
131079,Unknown,
131080,Unknown,
131081,Unknown,
131082,Unknown,
131083,Unknown,
131084,Unknown,
131085,Unknown,
131086,Unknown,
131106,Other,"Media, Publishing, and Broadcasting|"
131152,Unknown,
131153,Unknown,
131154,Unknown,
131155,Unknown,
131156,Unknown,
131157,Unknown,
131158,Unknown,
131159,Unknown,
131160,Eyeball,Eyeball|
131161,Unknown,
139345,ISP,Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology|
139358,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
16509,Content/CDN,"Content|Service|Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology"
213164,Other,"Travel and Accommodation|Hotels, Motels, Inns, Other Traveler Accommodation|"
173,Other,Validating RPKI ROV|Computer and Information Technology|
139468,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
139470,ISP,"Finance and Insurance|Investment, Portfolio Management, Pensions and Funds|Internet Service Provider (ISP)|Computer and Information Technology"
139472,ISP,"Service|Law, Business, and Consulting Services|Internet Service Provider (ISP)|Media, Publishing, and Broadcasting"
45674,Unknown,
45675,Unknown,
45677,Unknown,
45679,Other,Personal ASN|
45685,Unknown,
213471,Other,Personal ASN|
45686,Unknown,
45687,Unknown,
49671,Other,"Food, Grocery, Beverages|Retail Stores, Wholesale, and E-commerce Sites|"
213604,Other,Personal ASN|
24567,Other,Computer and Information Technology|Software Development|
9009,ISP,Carrier|Computer and Information Technology|Internet Service Provider (ISP)|Validating RPKI ROV
131893,Other,Validating RPKI ROV|
131894,Unknown,
131895,Academic/Edu,Academic|
131896,Unknown,
131897,Academic/Edu,Academic|
131898,Unknown,
131899,Unknown,
131900,Unknown,
131901,Unknown,
131902,Unknown,
131903,Unknown,
131904,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
131905,Other,Internet Critical Infra|
131906,Unknown,
131907,Unknown,
131908,Unknown,
131909,Unknown,
131910,Unknown,
131911,Other,Not Validating RPKI ROV|
131912,Unknown,
131913,Other,Not Validating RPKI ROV|
131914,Unknown,
131915,Eyeball,Eyeball|
131916,Eyeball,Eyeball|Validating RPKI ROV|
131917,Unknown,
131918,Eyeball,Eyeball|Validating RPKI ROV|
131919,Other,Validating RPKI ROV|
131920,Other,Not Validating RPKI ROV|
131921,Other,Validating RPKI ROV|
131922,Unknown,
131923,Eyeball,Eyeball|
131924,Unknown,
131925,Other,Not Validating RPKI ROV|
131926,Eyeball,Eyeball|Not Validating RPKI ROV|
131927,Unknown,
131928,Eyeball,Eyeball|Not Validating RPKI ROV|
131929,Other,Validating RPKI ROV|
131930,Other,Tranco 10k Host|
131931,Other,Not Validating RPKI ROV|
131932,Unknown,
131933,Other,Not Validating RPKI ROV|
131934,Eyeball,Eyeball|Not Validating RPKI ROV|
131935,Unknown,
131936,Unknown,
131937,Other,Validating RPKI ROV|
131938,Unknown,
131939,Other,Not Validating RPKI ROV|
131940,Unknown,
131941,Unknown,
131942,Other,Tranco 10k Host|
131943,Other,Not Validating RPKI ROV|
131944,Other,Validating RPKI ROV|
131945,Unknown,
131946,Other,Not Validating RPKI ROV|
131947,Unknown,
131948,Unknown,
131949,Unknown,
131950,Unknown,
131951,Unknown,
131952,Unknown,
131953,Unknown,
131954,Unknown,
131955,Unknown,
131956,Unknown,
131957,Unknown,
131958,ISP,Eyeball|Home ISP|
131959,Unknown,
131960,Unknown,
131961,Unknown,
131962,Unknown,
131963,Unknown,
131964,Unknown,
131965,Content/CDN,Tranco 10k Host|Server Hosting|ToR Services|
131966,Unknown,
131967,Unknown,
131968,Unknown,
131969,Unknown,
131970,Unknown,
131971,Eyeball,Eyeball|
131972,Unknown,
131973,Unknown,
131974,Unknown,
131975,Unknown,
131976,Unknown,
131977,Unknown,
131978,Unknown,
131979,Unknown,
131980,Unknown,
131981,Unknown,
131982,Unknown,
131983,Other,Not Validating RPKI ROV|
131984,Unknown,
131985,Unknown,
131986,Unknown,
131987,Unknown,
131988,Other,Validating RPKI ROV|
131989,Unknown,
131990,Unknown,
131991,Unknown,
131992,Unknown,
945,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Server Hosting
132024,Other,Computer and Information Technology|Software Development|
140232,ISP,"Computer and Information Technology|Internet Service Provider (ISP)|Service|Law, Business, and Consulting Services"
140233,ISP,"Law, Business, and Consulting Services|Computer and Information Technology|Service|Internet Service Provider (ISP)"
140234,ISP,"Computer and Information Technology|Service|Law, Business, and Consulting Services|Internet Service Provider (ISP)"
140235,ISP,"Computer and Information Technology|Law, Business, and Consulting Services|Service|Internet Service Provider (ISP)"
140236,ISP,"Computer and Information Technology|Service|Law, Business, and Consulting Services|Internet Service Provider (ISP)"
140237,ISP,"Law, Business, and Consulting Services|Internet Service Provider (ISP)|Computer and Information Technology|Service"
58325,Other,"Validating RPKI ROV|Service|Media, Publishing, and Broadcasting|"
9222,ISP,"Media, Publishing, and Broadcasting|Internet Service Provider (ISP)|Computer and Information Technology|"
140306,ISP,"Service|Computer and Information Technology|Internet Service Provider (ISP)|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)"
132119,Other,"Finance and Insurance|Service|Banks, Credit Card Companies, Mortgage Providers|"
132120,ISP,"Online Informational Content|Software Development|Internet Service Provider (ISP)|Media, Publishing, and Broadcasting"
18130,Unknown,
18131,Unknown,
18132,Unknown,
17503,Unknown,
17504,Unknown,
17505,Unknown,
17506,ISP,Eyeball|Not Validating RPKI ROV|Business Broadband|Tranco 10k Host
17507,Unknown,
17508,Unknown,
17509,Unknown,
17510,Unknown,
17511,ISP,Eyeball|Not Validating RPKI ROV|Business Broadband|Mobile Data/Carrier
17512,Unknown,
17513,Unknown,
17514,Other,Not Validating RPKI ROV|
17515,Unknown,
17516,Unknown,
17517,Unknown,
17518,Other,Not Validating RPKI ROV|
17519,Unknown,
17520,Unknown,
17521,Unknown,
17522,Unknown,
17523,Other,Not Validating RPKI ROV|
17524,Unknown,
17525,Unknown,
17526,Unknown,
17527,Unknown,
17528,Unknown,
17529,Eyeball,Eyeball|Not Validating RPKI ROV|
17530,Eyeball,Eyeball|Not Validating RPKI ROV|
17531,Unknown,
17532,Unknown,
17533,Unknown,
17534,ISP,Eyeball|Not Validating RPKI ROV|Home ISP|
18138,Unknown,
18139,Unknown,
18140,Unknown,
9349,Unknown,
9350,Unknown,
9351,ISP,Eyeball|Not Validating RPKI ROV|Home ISP|
9352,Unknown,
9353,Other,Validating RPKI ROV|
9354,ISP,Eyeball|Not Validating RPKI ROV|Home ISP|
9355,Other,Validating RPKI ROV|
18141,Other,Not Validating RPKI ROV|
9357,Other,Not Validating RPKI ROV|
9358,Unknown,
18142,Unknown,
9356,Unknown,
9359,Unknown,
18143,Unknown,
9363,Unknown,
9360,Unknown,
9365,ISP,Eyeball|Not Validating RPKI ROV|Home ISP|
9366,Other,Validating RPKI ROV|
9367,Other,Validating RPKI ROV|
18144,ISP,Eyeball|Not Validating RPKI ROV|Home ISP|
9361,Unknown,
9370,Content/CDN,Content|Not Validating RPKI ROV|Server Hosting|ToR Services
9371,Eyeball,Eyeball|Not Validating RPKI ROV|Server Hosting|ToR Services
9372,Unknown,
18145,Unknown,
9374,Other,Not Validating RPKI ROV|
9368,Unknown,
9376,Unknown,
9369,Unknown,
9378,Eyeball,Eyeball|Not Validating RPKI ROV|
18146,Unknown,
9380,Unknown,
9373,Unknown,
9375,Unknown,
58535,Other,"Finance and Insurance|Investment, Portfolio Management, Pensions and Funds|"
9384,Other,Machinery|Manufacturing|
18147,Unknown,
9377,Unknown,
9379,Unknown,
18149,Other,Internet Critical Infra|Not Validating RPKI ROV|
18150,Eyeball,Eyeball|Not Validating RPKI ROV|
18151,Unknown,
18152,Unknown,
9409,ISP,Content|Computer and Information Technology|Internet Service Provider (ISP)|Validating RPKI ROV
1233,Enterprise,"Law, Business, and Consulting Services|Computer and Information Technology|Service|"
140501,ISP,"Finance and Insurance|Internet Service Provider (ISP)|Retail Stores, Wholesale, and E-commerce Sites|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)"
9434,ISP,Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology|
25820,ISP,Content|Hosting and Cloud Provider|Computer and Information Technology|Internet Service Provider (ISP)
9466,ISP,Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
17661,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Education and Research|Computer and Information Technology
17673,Unknown,
17674,Unknown,
17675,Other,Not Validating RPKI ROV|
17676,ISP,Eyeball|Not Validating RPKI ROV|Business Broadband|Mobile Data/Carrier
17677,Unknown,
17678,Unknown,
17679,Unknown,
17680,Other,Not Validating RPKI ROV|
17681,Unknown,
17682,Eyeball,Eyeball|Not Validating RPKI ROV|
17683,Other,Not Validating RPKI ROV|
17684,Unknown,
58645,Unknown,
58646,Unknown,
58647,Unknown,
58648,Eyeball,Eyeball|
58649,Unknown,
58650,Other,Not Validating RPKI ROV|
58651,Unknown,
58652,Unknown,
58653,Unknown,
58654,Unknown,
17686,Unknown,
17687,Unknown,
17688,Unknown,
17689,Unknown,
17690,Unknown,
17691,Other,Validating RPKI ROV|
17692,Unknown,
17693,Unknown,
17694,Unknown,
17695,Unknown,
17696,Unknown,
17697,Unknown,
17698,ISP,Eyeball|Not Validating RPKI ROV|Home ISP|
17699,Unknown,
17700,Unknown,
17701,Unknown,
17702,Unknown,
17703,Unknown,
17704,Unknown,
17707,ISP,Not Validating RPKI ROV|Computer and Information Technology|Software Development|Internet Service Provider (ISP)
140642,Content/CDN,Hosting and Cloud Provicer|Hosting and Cloud Provider|Computer and Information Technology|
9591,Other,Validating RPKI ROV|
9592,Unknown,
9593,Other,Not Validating RPKI ROV|
9594,Unknown,
9595,ISP,Eyeball|Not Validating RPKI ROV|Validating RPKI ROV|Home ISP
9596,Unknown,
9597,Other,Tranco 10k Host|Not Validating RPKI ROV|
9598,Unknown,
9599,Unknown,
9600,Eyeball,Eyeball|Not Validating RPKI ROV|
9601,Eyeball,Eyeball|Not Validating RPKI ROV|
9602,Unknown,
9603,Unknown,
9604,Other,Validating RPKI ROV|
9605,ISP,Eyeball|Validating RPKI ROV|Mobile Data/Carrier|Home ISP
9606,Unknown,
9607,Content/CDN,Tranco 10k Host|Not Validating RPKI ROV|Server Hosting|
9608,Unknown,
9609,Unknown,
9610,Unknown,
140683,Other,"Service|Social Assistance (Temporary Shelters, Emergency Relief, Child Day Care, etc)|"
9611,Unknown,
9612,Unknown,
9613,Unknown,
9614,Eyeball,Eyeball|Not Validating RPKI ROV|
9615,Eyeball,Eyeball|Not Validating RPKI ROV|
9616,Unknown,
9617,ISP,Eyeball|Not Validating RPKI ROV|Home ISP|
9618,Other,Not Validating RPKI ROV|
9619,Other,Not Validating RPKI ROV|
9620,Unknown,
9621,Other,Validating RPKI ROV|
9622,Eyeball,Eyeball|Not Validating RPKI ROV|
132496,ISP,Software Development|Computer and Information Technology|Internet Service Provider (ISP)|
9625,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
132504,Other,Software Development|Computer and Information Technology|
140701,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
214430,Other,Personal ASN|
58784,Unknown,
58785,Academic/Edu,Academic|
58786,Unknown,
58787,Unknown,
58788,Unknown,
58789,Unknown,
58790,Unknown,
58791,Other,ToR Services|Not Validating RPKI ROV|
58792,Unknown,
58793,Unknown,
132592,Other,Computer and Information Technology|Software Development|
17905,Other,"Finance and Insurance|Investment, Portfolio Management, Pensions and Funds|"
148985,Other,Computer and Information Technology|Software Development|Service|
17930,Unknown,
17931,Eyeball,Eyeball|Not Validating RPKI ROV|ToR Services|
17932,Other,Not Validating RPKI ROV|
17933,Unknown,
17934,Unknown,
9743,Unknown,
17935,Unknown,
17936,Eyeball,Eyeball|Not Validating RPKI ROV|
17937,Unknown,
17938,Unknown,
26132,Other,Service|
17939,Eyeball,Eyeball|Not Validating RPKI ROV|
17940,Other,Not Validating RPKI ROV|
17941,Other,Not Validating RPKI ROV|
17942,Unknown,
17943,Unknown,
17944,Unknown,
17945,Unknown,
17946,Unknown,
17947,Unknown,
17948,Eyeball,Eyeball|Not Validating RPKI ROV|
17949,Unknown,
17950,Unknown,
17951,Unknown,
17952,Unknown,
17953,Unknown,
17954,Unknown,
17955,Eyeball,Eyeball|Not Validating RPKI ROV|
17956,Academic/Edu,Academic|
17957,ISP,Not Validating RPKI ROV|Home ISP|Eyeball|
17958,Eyeball,Eyeball|Not Validating RPKI ROV|
17959,Unknown,
17960,Unknown,
17961,Eyeball,Eyeball|Not Validating RPKI ROV|Business Broadband|
17977,ISP,"Phone Provider|Service|Law, Business, and Consulting Services|Internet Service Provider (ISP)"
140868,Content/CDN,Computer and Information Technology|Hosting and Cloud Provider|
9824,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
9827,ISP,Software Development|Manufacturing|Computer and Information Technology|Internet Service Provider (ISP)
132211,Other,"Investment, Portfolio Management, Pensions and Funds|Finance and Insurance|"
132726,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
18050,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
18067,Unknown,
18068,Other,Not Validating RPKI ROV|
18069,Other,Not Validating RPKI ROV|
18070,Other,Not Validating RPKI ROV|
18071,Unknown,
18072,Unknown,
18073,Unknown,
18074,Other,Validating RPKI ROV|
18075,Eyeball,Eyeball|Not Validating RPKI ROV|
18076,Unknown,
18077,Eyeball,Eyeball|Not Validating RPKI ROV|
18078,Unknown,
18079,Unknown,
18080,Unknown,
18081,ISP,Eyeball|Validating RPKI ROV|Home ISP|
18082,Unknown,
18083,Unknown,
18084,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
18085,Other,Validating RPKI ROV|
18086,Unknown,
18087,Unknown,
18088,Other,Not Validating RPKI ROV|
18089,Unknown,
18090,Unknown,
18091,Other,Not Validating RPKI ROV|
18092,Eyeball,Eyeball|Not Validating RPKI ROV|
18093,Unknown,
18094,Eyeball,Eyeball|Validating RPKI ROV|
18095,Unknown,
9904,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
18096,Unknown,
18097,Unknown,
18098,Unknown,
