asn,rank,name
4134,129,"CHINANET-BACKBONE No.31,Jin-rong Street"
4837,198,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
9808,290,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd."
4808,506,CHINA169-BJ China Unicom Beijing Province Network
4847,595,CNIX-AP China Networks Inter-Exchange
17621,738,CNCGROUP-SH China Unicom Shanghai network
24490,749,TEIN2-SG-AP Trans-Eurasia Information Network TEIN2 - SG
4812,789,CHINANET-SH-AP China Telecom Group
4809,799,CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network
56048,873,CMNET-BEIJING-AP China Mobile Communicaitons Corporation
