asn,rank,name
9498,21,BBIL-AP BHARTI Airtel Ltd.
4755,34,TATACOMM-AS TATA Communications formerly VSNL is Leading ISP
9583,99,SIFY-AS-IN Sify Limited
55836,132,RELIANCEJIO-IN Reliance Jio Infocomm Limited
55410,161,VIL-AS-AP Vodafone Idea Ltd
45820,186,TTSL-MEISISP Tata Teleservices ISP AS
18229,236,CTRLS-AS-IN CtrlS
9730,237,BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd
17439,249,NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED
17762,282,HTIL-TTML-IN-AP Tata Teleservices Maharashtra Ltd
