asn,category,tags
40963,Content/CDN,"Computer and Information Technology|Hosting and Cloud Provider|Retail Stores, Wholesale, and E-commerce Sites"
196613,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Education and Research
204805,ISP,Computer and Information Technology|Not Validating RPKI ROV|Internet Service Provider (ISP)
196615,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Community Groups and Nonprofits
24586,ISP,Tranco 10k Host|Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
8211,Other,"Investment, Portfolio Management, Pensions and Funds|Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance"
24595,Government,"Service|Government and Public Administration|Accountants, Tax Preparers, Payroll Services|Finance and Insurance"
40985,ISP,Computer and Information Technology|Internet Service Provider (ISP)
204830,Other,Computer and Information Technology|Personal ASN
213023,ISP,Computer and Information Technology|Internet Service Provider (ISP)
213028,Other,"Service|Retail Stores, Wholesale, and E-commerce Sites"
213030,ISP,Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology
213035,ISP,Content|Not Validating RPKI ROV|Hosting and Cloud Provider|Internet Service Provider (ISP)
139308,ISP,Computer and Information Technology|Hosting and Cloud Provider|Internet Service Provider (ISP)
8238,ISP,Computer and Information Technology|Internet Service Provider (ISP)
49206,ISP,Software Development|Computer and Information Technology|Internet Service Provider (ISP)
57400,Enterprise,"Law, Business, and Consulting Services|Service|IPv6 only"
213050,Other,Service
213052,Other,Personal ASN|Computer and Information Technology
57409,ISP,"Law, Business, and Consulting Services|Computer and Information Technology|Internet Service Provider (ISP)|Hosting and Cloud Provider"
24642,ISP,Hosting and Cloud Provider|Computer and Information Technology|Internet Service Provider (ISP)|Content
24643,Other,Service
213061,ISP,"Computer and Information Technology|Internet Service Provider (ISP)|Freight, Shipment, and Postal Services"
41031,ISP,Computer and Information Technology|Internet Service Provider (ISP)
213065,Government,Government|Other
24652,ISP,"Internet Service Provider (ISP)|Computer and Information Technology|Military, Defense, National Security, and International Affairs|Government and Public Administration"
41037,ISP,Internet Service Provider (ISP)|Computer and Information Technology
41038,ISP,Internet Service Provider (ISP)|Not Validating RPKI ROV|Computer and Information Technology
41047,Other,"IPv6 only|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Media, Publishing, and Broadcasting|Online Informational Content"
8283,Content/CDN,Content|Validating RPKI ROV|Hosting and Cloud Provider|Computer and Information Technology
57440,ISP,Computer and Information Technology|Software Development|Internet Service Provider (ISP)
49249,ISP,Internet Service Provider (ISP)|Computer and Information Technology
49250,ISP,Computer and Information Technology|Internet Service Provider (ISP)
213099,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Government
213100,Other,"Media, Publishing, and Broadcasting|Online Informational Content"
213101,Other,"Food, Grocery, Beverages|Retail Stores, Wholesale, and E-commerce Sites"
8312,Content/CDN,Computer and Information Technology|Validating RPKI ROV|Hosting and Cloud Provider
8315,Content/CDN,Content|Not Validating RPKI ROV|Technology Consulting Services|Service
213120,ISP,"Anycast|Media, Publishing, and Broadcasting|Computer and Information Technology|Online Music and Video Streaming Services"
204933,Content/CDN,Health Care Services|Hosting and Cloud Provider|Service|Software Development
8328,ISP,Internet Service Provider (ISP)|Software Development|Computer and Information Technology
213132,Other,Travel and Accommodation
57485,ISP,Internet Service Provider (ISP)|Computer and Information Technology
196752,ISP,Content|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
49305,Other,Computer and Information Technology|Software Development
24730,Enterprise,"Corporate/Enterprise|Not Validating RPKI ROV|Museums, Libraries, and Entertainment"
49307,Unknown,
41117,Enterprise,"Computer and Information Technology|Service|Law, Business, and Consulting Services"
57504,ISP,Computer and Information Technology|Internet Service Provider (ISP)
204963,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Software Development
213161,Other,"Investment, Portfolio Management, Pensions and Funds|Finance and Insurance"
57515,ISP,Computer and Information Technology|Internet Service Provider (ISP)
