asn,category,tags
196638,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
196641,Other,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Buildings (Residential or Commercial)|Retail Stores, Wholesale, and E-commerce Sites"
196642,Enterprise,"Buildings (Residential or Commercial)|Freight, Shipment, and Postal Services|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Service"
196648,Academic/Edu,"Colleges, Universities, and Professional Schools|Education and Research"
196657,Eyeball,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Buildings (Residential or Commercial)|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Construction and Real Estate"
196660,Other,"Retail Stores, Wholesale, and E-commerce Sites|Manufacturing|Clothing and Textiles"
196665,Eyeball,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Construction and Real Estate|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Electric Power Generation, Transmission, Distribution"
196667,Other,"Construction and Real Estate|Postal Services and Couriers|Freight, Shipment, and Postal Services|Civil Engineering Construction (Utility Lines, Roads and Bridges)"
196673,ISP,"Freight, Shipment, and Postal Services|Buildings (Residential or Commercial)|Computer and Information Technology|Internet Service Provider (ISP)"
196685,ISP,"Retail Stores, Wholesale, and E-commerce Sites|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV"
196686,ISP,"Retail Stores, Wholesale, and E-commerce Sites|Construction and Real Estate|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Finance and Insurance"
196691,ISP,Computer and Network Security|Internet Service Provider (ISP)|Computer and Information Technology
196695,ISP,"Tranco 10k Host|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Computer and Information Technology|Internet Service Provider (ISP)"
196698,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
196699,Enterprise,"Law, Business, and Consulting Services|Service|Media, Publishing, and Broadcasting|Not Validating RPKI ROV"
196705,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
196716,ISP,Internet Service Provider (ISP)|Computer and Information Technology
196719,ISP,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Electronics and Computer Components|Retail Stores, Wholesale, and E-commerce Sites|Construction and Real Estate"
196721,ISP,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Construction and Real Estate|Internet Service Provider (ISP)|Computer and Information Technology"
196726,ISP,"Internet Service Provider (ISP)|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Hosting and Cloud Provider|Computer and Information Technology"
196739,ISP,Eyeball|Computer and Information Technology|Construction and Real Estate|Buildings (Residential or Commercial)
196742,ISP,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)|Government and Public Administration
196747,ISP,Internet Service Provider (ISP)|Phone Provider|Computer and Information Technology
196750,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Electronics and Computer Components
196754,ISP,"Passenger Transit (Car, Bus, Taxi, Subway)|Internet Service Provider (ISP)|Electronics and Computer Components|Manufacturing"
196764,Unknown,
196767,ISP,"Not Validating RPKI ROV|Media, Publishing, and Broadcasting|Radio and Television Providers|Computer and Information Technology"
196768,Eyeball,"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Water Transportation|Retail Stores, Wholesale, and E-commerce Sites|Freight, Shipment, and Postal Services"
196780,ISP,Computer and Information Technology|Internet Service Provider (ISP)
196786,ISP,"Media, Publishing, and Broadcasting|Computer and Information Technology|Radio and Television Providers|Internet Service Provider (ISP)"
196791,ISP,"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Museums, Libraries, and Entertainment|Service|Computer and Information Technology"
196796,Other,"Construction and Real Estate|Retail Stores, Wholesale, and E-commerce Sites|Buildings (Residential or Commercial)|Finance and Insurance"
196797,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
196798,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
196812,ISP,"Museums, Libraries, and Entertainment|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV"
196847,Other,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Construction and Real Estate|Automotive and Transportation|Manufacturing"
196879,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology
196884,Other,"Retail Stores, Wholesale, and E-commerce Sites|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)"
196894,Content/CDN,"Law, Business, and Consulting Services|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Hosting and Cloud Provider|Software Development"
196914,ISP,"Retail Stores, Wholesale, and E-commerce Sites|Internet Service Provider (ISP)|Hosting and Cloud Provider|Not Validating RPKI ROV"
196936,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV|Eyeball
196938,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
196949,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
196963,Other,"Retail Stores, Wholesale, and E-commerce Sites"
196977,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)
196986,Enterprise,Real Estate (Residential and/or Commercial)|Service|Construction and Real Estate|Computer and Information Technology
196991,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
197007,Other,"Freight, Shipment, and Postal Services|Retail Stores, Wholesale, and E-commerce Sites"
